指標名,コンビニ,,,,,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2丁目2-2,35.670591,139.7551815,ファミリーマート 内幸町富国生命ビル店
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.672256,139.7583495,セブンイレブン 7FS内幸町1丁目店
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-7,35.671779,139.7576745,生活彩家 NBF日比谷ビル店
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-3-3,35.669394,139.756923,ローソン 内幸町一丁目店
千代田区,内幸町１丁目,-,東京都千代田区内幸町1丁目1-7,35.671779,139.7576745,生活彩家日比谷U-1ビル店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-12,35.658351,139.6977975,セブンイレブン 渋谷道玄坂中央店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-1-1 渋谷駅2FJR改札横,35.659287,139.701051,トークス 渋谷店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-1-1 田園都市線渋谷駅 B3Fホーム内,35.659287,139.701051,トークス 田園都市線渋谷ホーム店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-11-4,35.657676,139.696038,セブンイレブン 渋谷道玄坂2丁目店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-16-4,35.658711,139.6969695,セブンイレブン 渋谷道玄坂店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-20-26,35.659296,139.696776,ローソン 道玄坂二丁目店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-13,35.659674,139.697874,有限会社シンコー商事
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-6-11,35.658828,139.698576,ミニストップ 道玄坂2丁目店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2丁目11-1G SQUARE,35.657919,139.696272,ファミリーマート 道玄坂中央店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2丁目29-8,35.659233,139.6979325,ファミリーマート 道玄坂センタービル店
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2丁目6-15,35.659026,139.6984995,ファミリーマート 道玄坂二丁目店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1 井の頭線ホーム,35.65743122,139.6983794,A LoT(アロット) 渋谷井の頭線ホーム店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1 渋谷駅改札内埼京連絡通路中央,35.65743122,139.6983794,NEWDAYS(ニューデイズ) 渋谷7号店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1丁目1-1,35.658693,139.700907,ニューデイズ渋谷7号
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1 井の頭線改札外コンコース,35.65743122,139.6983794,K-Shop渋谷店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1 渋谷駅南口改札外左側,35.65743122,139.6983794,KIOSK(キオスク) 渋谷10号
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-1-1,35.658693,139.700907,ローソン メトロス渋谷店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-5,35.657739,139.6973385,ファミリーマート 渋谷マークシティ店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-18-1,35.65755,139.697199,ナチュラルローソン 渋谷道玄坂一丁目店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-19-9,35.656758,139.6958805,ファミリーマート 渋谷道玄坂店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-3-11,35.658261,139.69962,セブンイレブン 渋谷駅西店
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1丁目10番5号,35.657073,139.6991205,セブンイレブン 渋谷道玄坂1丁目店
港区,東麻布３丁目,-,東京都港区東麻布3-7-13,35.656317,139.7380635,ナチュラルローソン 東麻布三丁目店
港区,東麻布２丁目,-,東京都港区東麻布2-23-14,35.657091,139.739283,ローソン 東麻布二丁目店
港区,東麻布１丁目,-,東京都港区東麻布1-28-13,35.655309,139.7434275,ファミリーマート 東麻布一丁目店
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-11-9,35.6922,139.7846115,セブンイレブン 東日本橋駅前店
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-4-7,35.691282,139.783221,セブンイレブン 東日本橋3丁目店
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-6-11,35.690841,139.7838915,セブンイレブン 馬喰横山駅前店
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-7-1,35.690922,139.7843235,ミニストップ 東日本橋3丁目店
中央区,東日本橋２丁目,-,東京都中央区東日本橋2丁目15番5号VORT東日本橋1階,35.693838,139.7854035,ファミリーマート 東日本橋二丁目店
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-24-14,35.694378,139.786785,ローソン 東日本橋京葉道路店
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-4-3,35.691948,139.785597,ローソン 東日本橋二丁目店
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-7-1,35.692965,139.7852595,デイリーヤマザキ 清杉通り店
千代田区,東神田２丁目,-,東京都千代田区東神田2-10-17,35.695584,139.7808045,ファミリーマート 東神田二丁目店
千代田区,東神田２丁目,-,東京都千代田区東神田2丁目5-12,35.695728,139.7796975,セブンイレブン 東神田2丁目店
港区,東新橋２丁目,虎ノ門広域,東京都港区東新橋2-14-1,35.660556,139.7574405,ナチュラルローソン コモディオ汐留店
港区,東新橋２丁目,虎ノ門広域,東京都港区東新橋2-3-14エディフィチオ トーコー,35.662194,139.7576835,ファミリーマート ヴィータイタリア店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-1-8地先,35.665767,139.7602665,ファミリーマート 新橋ゆりかもめ店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-3-1,35.664354,139.758921,ローソン 東新橋一丁目店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-7-1汐留メディアタワーB2F,35.663256,139.7597625,ファミリーマート 汐留メディアタワー店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-8-2,35.664921,139.762485,セブンイレブン カレッタ汐留店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1東京汐留ビルディング内 ペディ汐留B1F,35.663013,139.7612925,ファミリーマート ファミマ ペディ汐留店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目1-2,35.666316,139.760739,ファミリーマート 東新橋一丁目店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目5-2汐留シティセンター,35.665344,139.761,ファミリーマート ファミマ汐留シティセンター店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目5番25号地先,35.665524,139.7614995,ファミリーマート 汐留シオサイト店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目6-3,35.664255,139.7605815,ファミリーマート 汐留タワー店
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目9-2,35.662131,139.760127,リーベンハウス汐留住友ビル店
新宿区,東五軒町,-,東京都新宿区東五軒町3-5,35.706348,139.7382975,セブンイレブン 新宿東五軒町店
新宿区,東五軒町,-,東京都新宿区東五軒町5-19,35.706816,139.739805,ファミリーマート 東五軒町店
渋谷区,東４丁目,-,東京都渋谷区東4-8-1,35.655534,139.713597,セブンイレブン 渋谷東4丁目店
渋谷区,東３丁目,-,東京都渋谷区東3-1-6,35.652357,139.712859,ローソン 広尾高校前店
渋谷区,東３丁目,-,東京都渋谷区東3-22-14,35.650278,139.7086065,セブンイレブン 恵比寿駅北店
渋谷区,東３丁目,-,東京都渋谷区東3-25-11,35.648784,139.709637,ローソン 渋谷東三丁目店
渋谷区,東３丁目,-,東京都渋谷区東3ー15ー4,35.650782,139.709106,セブンイレブン 渋谷東3丁目店
渋谷区,東２丁目,-,東京都渋谷区東2-20-13 シャトレー渋谷1F,35.653365,139.7090115,ローソンストア100 渋谷店
渋谷区,東２丁目,-,東京都渋谷区東2丁目17-10 岡本LKビル,35.652438,139.7092185,ファミリーマート 渋谷東二丁目店
渋谷区,東１丁目,-,東京都渋谷区東1-27-8,35.654229,139.707279,阿木酒店
渋谷区,東１丁目,-,東京都渋谷区東1-3-10,35.65728,139.7081835,ローソン 渋谷東一丁目店
渋谷区,東１丁目,-,東京都渋谷区東1-32-12,35.653941,139.706028,セブンイレブン 渋谷並木橋店
渋谷区,東１丁目,-,東京都渋谷区東1丁目25-2,35.654607,139.708431,セブンイレブン 渋谷東1丁目店
新宿区,天神町,-,東京都新宿区天神町21 朝日神楽坂マンション,35.705097,139.7310255,ファミリーマート 新宿天神町店
中央区,佃２丁目,-,東京都中央区佃2-10-9,35.666145,139.784436,セブンイレブン 中央区佃2丁目店
中央区,佃２丁目,-,東京都中央区佃2-1-3,35.670366,139.785012,ナチュラルローソン 佃二丁目店
中央区,佃２丁目,-,東京都中央区佃2-2-7,35.668467,139.785597,ローソン 佃二丁目店
中央区,佃２丁目,-,東京都中央区佃2丁目12-12,35.666685,139.78593,ファミリーマート 佃二丁目店
新宿区,津久戸町,-,東京都新宿区津久戸町5-1東京厚生年金病院,35.703387,139.742172,ファミリーマート 東京新宿メディカルセンター店
新宿区,中落合４丁目,-,東京都新宿区中落合4丁目31-1 新宿キャンパス内,35.717679,139.6809405,ファミリーマート 目白大学新宿キャンパス店
新宿区,中落合３丁目,-,東京都新宿区中落合3-1-3,35.722314,139.6917675,セブンイレブン 新宿中落合3丁目店
新宿区,中落合３丁目,-,東京都新宿区中落合3-24-9,35.722746,139.6872135,ファミリーマート 新宿中落合三丁目店
新宿区,中落合３丁目,-,東京都新宿区中落合3丁目29-13 丸正タケダビル,35.72262,139.6850085,ファミリーマート 中落合三丁目目白通り店
新宿区,中落合１丁目,-,東京都新宿区中落合1-16-1,35.715879,139.687911,セブンイレブン 新宿中井駅前店
新宿区,中落合１丁目,-,東京都新宿区中落合1丁目17-3,35.715609,139.687821,ファミリーマート 新宿中井駅前店
新宿区,中落合１丁目,-,東京都新宿区中落合1丁目19-1,35.715051,139.687236,ファミリーマート トモニー中井駅店
新宿区,中井１丁目,-,東京都新宿区中井1-10-8,35.715042,139.683375,ローソン H新宿中井店
新宿区,筑土八幡町,-,東京都新宿区筑土八幡町2-20,35.704287,139.7408985,セブンイレブン 新宿筑土八幡町店
新宿区,築地町,-,東京都新宿区築地町20-2,35.705565,139.7355705,セブンイレブン 新宿築地町店
中央区,築地７丁目,-,東京都中央区築地7-11-5中銀ベル築地マンション,35.665641,139.774491,ローソンストア100 LS築地七丁目店
中央区,築地７丁目,-,東京都中央区築地7-8-10,35.666199,139.7746035,セブンイレブン 築地7丁目店
中央区,築地６丁目,-,東京都中央区築地6-16-1,35.663877,139.773888,ローソン 築地六丁目店
中央区,築地６丁目,-,東京都中央区築地6丁目22番4号,35.664174,139.7717865,ファミリーマート 築地市場前店
中央区,築地６丁目,-,東京都中央区築地6丁目4-10,35.665173,139.7723805,ファミリーマート 築地六丁目店
中央区,築地５丁目,-,東京都中央区築地5-6-4,35.662869,139.764582,生活彩家 浜離宮三井ビル店
中央区,築地５丁目,-,東京都中央区築地5-1-1,35.665542,139.7681055,セブンイレブン KOYOがんセンター中央病院店
中央区,築地５丁目,-,東京都中央区築地5-6-10,35.662374,139.765617,ローソン 築地五丁目店
中央区,築地５丁目,-,東京都中央区築地5丁目3番1号,35.664696,139.7662875,ファミリーマート 築地五丁目店
中央区,築地４丁目,-,東京都中央区築地4-1-1,35.667648,139.7686725,ナチュラルローソン 築地東劇ビル店
中央区,築地４丁目,-,東京都中央区築地4-8-1,35.665992,139.7704545,ローソン 築地四丁目店
中央区,築地３丁目,-,東京都中央区築地3-1-10,35.669349,139.7744955,ローソン H築地三丁目店
中央区,築地３丁目,-,東京都中央区築地3丁目5-10,35.668125,139.7740635,セブンイレブン 築地日刊スポーツ本社店
中央区,築地２丁目,-,東京都中央区築地2-11-13 ア-バンネット築地第1ビル,35.668107,139.772205,ミニストップ 築地2丁目店
中央区,築地２丁目,-,東京都中央区築地2-15-13,35.667117,139.770531,ローソン 築地二丁目店
中央区,築地２丁目,-,東京都中央区築地2-3-2,35.669943,139.7742165,ファミリーマート 新富町駅前店
中央区,築地２丁目,-,東京都中央区築地2-7-12,35.669835,139.7727045,セブンイレブン 中央区築地2丁目店
中央区,築地２丁目,-,東京都中央区築地2丁目5番5号,35.669232,139.773528,ファミリーマート 泰志築地店
中央区,築地１丁目,-,東京都中央区築地1-1-1,35.6706,139.771971,ローソン 新富町メトロピア店
中央区,築地１丁目,-,東京都中央区築地1丁目10-7,35.668773,139.7707425,ファミリーマート 築地一丁目店
中央区,築地１丁目,-,東京都中央区築地1丁目13-1,35.668251,139.769424,ファミリーマート 銀座松竹スクエア店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2丁目13-1,35.691471,139.7707785,ニューデイズ神田南口
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2丁目13-1,35.691471,139.7707785,ニューデイズ神田北口
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-3-2,35.691219,139.7722815,ナチュラルローソン NL神田鍛冶町二丁目店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-2-9,35.691534,139.7714805,ローソン 神田駅東口店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-13-11,35.692056,139.771017,セブンイレブン 神田駅北口店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-7-1,35.692272,139.771764,ファミリーマート 神田駅東口店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2丁目1番3号,35.691057,139.771116,セブンイレブン 神田駅南口店
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2丁目9番8号,35.693289,139.7722815,セブンイレブン 千代田鍛冶町2丁目店
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1-9-4,35.690607,139.7724345,セブンイレブン 千代田鍛冶町1丁目店
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1丁目7-4,35.690436,139.771062,ファミリーマート 神田鍛冶町店
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1丁目8番8号神田鍛冶町ビル,35.691075,139.773321,ミニストップ 神田鍛冶町店
新宿区,箪笥町,-,東京都新宿区箪笥町28番1,35.699949,139.7328975,セブンイレブン 牛込北町店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-3-1,35.686881,139.7669355,ローソン JPローソン大手町プレイス2F店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-3-1,35.686881,139.7669355,セブンイレブン NTTCom大手町プレイス店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-2-1,35.685198,139.767183,ローソン H新大手町ビル店
千代田区,大手町２丁目,大丸有,東京都千代田区丸の内1 東京駅改札内,35.68438939,139.7675914,NEWDAYS(ニューデイズ) 東京八重洲中央店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-1-1,35.685099,139.766184,セブンイレブン 大手町野村ビル店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-2-2 アーバンネット大手町ビル地下1F,35.685837,139.7671785,生活彩家 アーバンネット大手町店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-3-1 大手町プレイスウエストタワー14階,35.686881,139.7669355,ミニストップ cisca大手町プレイス店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-3-5,35.687988,139.767138,ローソン 大手町二丁目店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-2,35.684856,139.7693835,ローソンサテライト JOB HUB SQUARE店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-2 日本ビルヂング地下1F,35.684856,139.7693835,生活彩家 日本ビルディング店
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2丁目6-1 朝日生命大手町ビル,35.684505,139.768785,ファミリーマート 朝日生命大手町ビル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-1-3,35.685954,139.762746,ローソン 大手センタービル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-2,35.688636,139.763538,セブンイレブン 大手町カンファレンスセンター店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-6-1,35.686647,139.764123,ナチュラルローソン 大手町ビル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-6-1 千代田線大手町駅構内,35.686647,139.764123,ナチュラルローソン 大手町メトロピア店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-6-1 半蔵門線大手町駅構内,35.686647,139.764123,ナチュラルローソン 大手町西メトロピア店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-7-1,35.687133,139.764501,セブンイレブン 読売新聞東京本社ビル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-8-1,35.687745,139.764348,セブンイレブン KDDI大手町ビル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-2,35.68878,139.764564,ローソン 大手町フィナンシャルシティグランキューブ店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-5,35.688249,139.766157,ナチュラルローソン 大手町フィナンシャルシティノース店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-7,35.6877,139.765797,ナチュラルローソン S大手町フィナンシャルシティサウス店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1丁目1-1,35.686755,139.7625615,ファミリーマート ファミマ大手町パークビル店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1丁目1番2号,35.686071,139.762098,ファミリーマート ファミマ大手門タワー店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1丁目5-1,35.685594,139.7637945,ファミリーマート ファーストスクエア店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1丁目5番1号大手町ファーストスクエア1階,35.685594,139.7637945,ファミリーマート ファーストスクエアEAST店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1丁目5番5号,35.685441,139.7653695,ファミリーマート OOTEMORI店
渋谷区,大山町,-,東京都渋谷区大山町2-10,35.668089,139.675581,ローソン 渋谷大山町店
新宿区,大京町,-,東京都新宿区大京町24ガ-デンクレスト,35.685405,139.716261,ミニストップ 新宿大京町店
新宿区,大久保３丁目,-,東京都新宿区大久保3-14-3,35.708013,139.708395,セブンイレブン 女子学習院店
新宿区,大久保３丁目,-,東京都新宿区大久保3-5-1新宿スポーツセンター1F,35.706987,139.705425,ファミリーマート 新宿スポーツセンター店
新宿区,大久保３丁目,-,東京都新宿区大久保3丁目2-12,35.704674,139.7051235,セブンイレブン 新宿大久保3丁目店
新宿区,大久保３丁目,-,東京都新宿区大久保3丁目8-2,35.708967,139.703211,リーベンハウス新宿ガーデンタワー店
新宿区,大久保２丁目,-,東京都新宿区大久保2-3-6,35.703963,139.708845,ローソンストア100 LS大久保二丁目店
新宿区,大久保２丁目,-,東京都新宿区大久保2-4-12新宿ラムダックスビル,35.704161,139.708251,ローソン 新宿大久保二丁目店
新宿区,大久保２丁目,-,東京都新宿区大久保2-19-4,35.701344,139.704525,セブンイレブン 新宿大久保通り店
新宿区,大久保２丁目,-,東京都新宿区大久保2-2-6,35.702244,139.708512,セブンイレブン 大久保2丁目明治通り店
新宿区,大久保２丁目,-,東京都新宿区大久保2-32-4,35.70147,139.7023695,ミニストップ 新大久保駅東口店
新宿区,大久保２丁目,-,東京都新宿区大久保2-3-9,35.704287,139.708863,ファミリーマート 早稲田大学理工学部前店
新宿区,大久保２丁目,-,東京都新宿区大久保2丁目29-23,35.704593,139.703931,ファミリーマート 新宿大久保二丁目店
新宿区,大久保１丁目,-,東京都新宿区大久保1ー1ー7,35.698338,139.706406,セブンイレブン 新宿東店
新宿区,大久保１丁目,-,東京都新宿区大久保1-15-15,35.701011,139.703283,ローソン・スリーエフ 大久保通店
新宿区,大久保１丁目,-,東京都新宿区大久保1-2-17,35.699157,139.7074455,セブンイレブン 新宿大久保1丁目店
新宿区,大久保１丁目,-,東京都新宿区大久保1-6-12,35.700912,139.7058435,ローソン 新大久保店
新宿区,大久保１丁目,-,東京都新宿区大久保1丁目12-1 第2韓国広場ビル,35.698464,139.70367,ファミリーマート 新宿職安通り店
新宿区,大久保１丁目,-,東京都新宿区大久保1丁目3番15号,35.700723,139.707639,ファミリーマート 新宿大久保一丁目店
新宿区,大久保１丁目,-,東京都新宿区大久保1丁目8番2号,35.698536,139.7049075,ファミリーマート 東新宿駅西店
港区,台場２丁目,-,東京都港区台場2-4-8,35.626815,139.774437,ローソン フジテレビ店
港区,台場２丁目,-,東京都港区台場2-6-1,35.625051,139.7718,生活彩家 ヴェルエクール店
港区,台場２丁目,-,東京都港区台場2丁目3-1,35.627823,139.7763855,ファミリーマート トレードピアお台場店
港区,台場２丁目,-,東京都港区台場2丁目3-2,35.628624,139.7778345,ファミリーマート 台場フロンティア店
港区,台場１丁目,-,東京都港区台場1-3,35.632044,139.7789145,ローソン Hお台場海浜公園前店
港区,台場１丁目,-,東京都港区台場1-5-7-101,35.630307,139.778793,ファミリーマート お台場海浜公園店
港区,台場１丁目,-,東京都港区台場1-7-1,35.628435,139.7744505,ローソン アクアシティお台場店
港区,台場１丁目,-,東京都港区台場1丁目6番1号デックス東京ビ-チ,35.628453,139.7753505,ファミリーマート お台場東京ビーチ店
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町3-1 国立オリンピック青少年総合センター宿泊D棟1F,35.675883,139.693284,生活彩家 青少年総合センター店
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-7-2,35.669979,139.6884555,ローソン 代々木八幡駅北店
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-33-10トーシンビル1F,35.681868,139.6890135,ファミリーマート 初台交差点前店
渋谷区,代々木４丁目,-,東京都渋谷区代々木4丁目10-8,35.678259,139.6923435,セブンイレブン 代々木参宮橋店
渋谷区,代々木４丁目,-,東京都渋谷区代々木4丁目2-3,35.679033,139.69332,ファミリーマート 参宮橋駅前店
渋谷区,代々木４丁目,-,東京都渋谷区代々木4丁目31-6 西新宿松屋ビル,35.682813,139.68936,ファミリーマート 代々木四丁目店
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-26-2,35.684487,139.691907,セブンイレブン 代々木3丁目店
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-37-7,35.682021,139.692834,ローソン 代々木西参道店
渋谷区,代々木３丁目,-,東京都渋谷区代々木3丁目24-3,35.685225,139.6928745,ファミリーマート 渋谷文化学園大前店
渋谷区,代々木３丁目,-,東京都渋谷区代々木3丁目29番3号,35.684721,139.69341,ファミリーマート 代々木三丁目店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-1 JR南新宿ビル2階エントランス脇,35.685954,139.6992915,NEWDAYS(ニューデイズ) JR南新宿ビル店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-10-1,35.688069,139.6983915,セブンイレブン 新宿駅西店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-1-3 JR東京総合病院2F,35.685711,139.699773,NEWDAYS(ニューデイズ) JR病院店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-13-4,35.687142,139.6963215,セブンイレブン 西新宿甲州街道店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-16-2,35.686395,139.6957545,ミニストップ 代々木2丁目店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-23-1,35.685441,139.697739,セブンイレブン 渋谷代々木2丁目店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-5-3,35.687232,139.6976715,ローソン H代々木店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-6-3,35.687781,139.698585,ローソン 大江戸線新宿駅前店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2丁目1-1 新宿マインズタワー,35.686566,139.6989585,ファミリーマート 新宿マインズタワー店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2丁目11-17ラウンドクロス新宿,35.687502,139.697325,ファミリーマート 新宿甲州街道店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2丁目20-17 海南ビル,35.686638,139.6970865,ファミリーマート 代々木二丁目北店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2丁目29-14,35.684001,139.69872,ファミリーマート 南新宿駅前店
渋谷区,代々木２丁目,-,東京都渋谷区代々木2丁目7-5,35.687727,139.6995255,ファミリーマート 新宿駅南店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-10-1,35.681985,139.69791,ローソン 代々木一丁目店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-30-1,35.682228,139.7017575,セブンイレブン 渋谷代々木1丁目南店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-30-3メイプルビル代々木,35.681949,139.7018115,ファミリーマート 代々木駅西店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-36-1,35.684055,139.7012535,セブンイレブン 代々木駅北口店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-39-11,35.68248,139.7000835,ナチュラルローソン 代々木駅西店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-57-2,35.685099,139.701411,ファミリーマート 代々木一丁目店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1丁目34-1,35.683074,139.7020275,ニューデイズ代々木店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1丁目38-5,35.682903,139.701564,ファミリーマート 代々木駅前店
渋谷区,代々木１丁目,-,東京都渋谷区代々木1丁目53-1,35.684217,139.699962,ファミリーマート 山野学苑店
渋谷区,代官山町,-,東京都渋谷区代官山町14-23,35.650548,139.703301,セブンイレブン 渋谷代官山店
新宿区,早稲田南町,-,東京都新宿区早稲田南町54,35.705583,139.721589,ミニストップ 早稲田駅前店
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町519,35.707833,139.7235555,ファミリーマート 早稲田鶴巻町店
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町521,35.707446,139.725099,セブンイレブン 早稲田店
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町522,35.707302,139.7258415,ローソンストア100 LS早稲田鶴巻町店
新宿区,早稲田町,-,東京都新宿区早稲田町70-1,35.706879,139.720896,セブンイレブン 新宿早稲田高校前店
新宿区,早稲田町,-,東京都新宿区早稲田町74,35.705862,139.7225385,ローソン 早稲田町店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-27-5,35.686494,139.7028375,ローソン リンクスクエア新宿3階店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-27-5,35.686494,139.7028375,ローソン 渋谷千駄ケ谷五丁目店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-20-12,35.683344,139.703175,ファミリーマート 代々木東口店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-23-17,35.683623,139.7031705,セブンイレブン 代々木イースト店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5丁目14番10号,35.684478,139.704129,ファミリーマート 千駄ヶ谷五丁目店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5丁目16-10,35.682372,139.7047815,ファミリーマート 千駄ヶ谷鳩森店
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5丁目24番55号,35.688654,139.701231,ファミリーマート バスタ新宿店
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ケ谷4-21-5,35.679978,139.706658,セブンイレブン 千駄ケ谷店
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-23-5,35.680896,139.706676,ローソン 国立能楽堂前店
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-3-1,35.679348,139.7044575,ローソン 北参道駅前店
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4丁目24-13,35.6805,139.705542,ミニストップ 千駄ヶ谷4丁目店
