指標名,ミシュラン掲載レストラン,,,,,,,★★★,三つ星:そのために旅行する価値のある卓越した料理,,,,,,,,,
出典,ミシュランガイド東京 2022,,,,,,,★★,二つ星:遠回りしてでも訪れる価値のある素晴らしい料理,,,,,,,,,
年次,2022年,,,,,,,★,一つ星:近くに訪れたら行く価値のある優れた料理,,,,,,,,,
URL,https://clubmichelin.jp/search/restaurant/?rg=1,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,,,,,,,,,
備考,（2019年：318件、2020年：322件、2021年度：318件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,定休日,価格帯,新規掲載,個室あり,駐車場,ベジタリアンメニュー,車椅子対応,要予約,URL,TEL
千代田区,外神田３丁目,-,東京都千代田区外神田 3-6-8,35.702782,139.769916,いし橋,すき焼,★,"月曜～金曜の昼, 土曜, 日曜","夜＝14,000-16,000円",-,〇,-,-,-,〇,-,050-5484-6113
港区,西麻布３丁目,-,東京都港区西麻布 3-8-6,35.654742,139.726057,蕎麦 たじま,蕎麦,ビブグルマン,日曜,"昼＝1,500-6,000円　夜＝1,500-6,000円",-,-,-,-,-,〇,http://www.sobatajima.jp/,03-3445-6617
港区,白金６丁目,-,東京都港区白金 6-5-3 さくら白金 1F,35.64436,139.724794,アルゴリズム,フランス料理,★,日曜,"昼＝8,000円　夜＝15,000円",-,-,-,-,-,〇,http://lalgorithme.com/,050-5486-9570
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂 3-6,35.700965,139.740137,蕎楽亭,蕎麦,ビブグルマン,"月曜, 日曜","昼＝1,000-5,000円　夜＝2,000-5,000円",-,-,-,-,-,-,http://kyourakutei.com/,03-3269-3233
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西 1-30-12,35.648456,139.705659,アビス,フランス料理,★,"月曜～火曜の昼, 水曜, 木曜～金曜の昼","昼＝9,500-15,000円　夜＝15,000-19,000円",-,〇,-,-,-,〇,https://abysse.jp/,03-6804-3846
中央区,銀座５丁目,-,東京都中央区銀座 5-6-13 西五番街ビル 6F,35.670963,139.763628,寿こう,日本料理,★,"月曜の昼, 水曜の昼, 日曜","昼＝8,000-18,000円　夜＝20,000-43,000円",-,〇,-,-,-,〇,https://jyu-kou.jp/,03-6263-8790
港区,東麻布１丁目,-,東京都港区東麻布 1-5-4,35.658089,139.743322,野田岩 麻布飯倉本店,うなぎ,★,日曜,"昼＝3,000-18,000円　夜＝3,000-18,000円",-,〇,-,-,-,〇,http://www.nodaiwa.co.jp/,03-3583-7852
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 4-1 ホテルニューオータニ ザ・メイン ロビー階,35.681175,139.734872,トゥールダルジャン,フランス料理,★,"月曜, 火曜～水曜の昼","昼＝11,000-24,000円　夜＝22,000-37,000円",-,〇,〇,-,〇,〇,https://tourdargent.jp/,050-5492-5107
渋谷区,西原２丁目,-,東京都渋谷区西原 2-27-4 升本ビル 2F,35.675222,139.678302,您好,餃子,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝3,000-4,000円",-,-,-,-,-,〇,-,03-3465-0747
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町 11-11,35.687201,139.778574,おにく 花柳,牛肉料理,★,"月曜～土曜の昼, 日曜","夜＝27,000円",-,〇,-,-,-,〇,http://www.karyu-tokyo.com/,050-5486-5449
港区,元麻布３丁目,-,東京都港区元麻布 3-6-34東京都港区愛宕 1-1-1 虎ノ門ヒルズ レジデンシャルタワー 1F(移転先),35.657042,139.728715,かんだ,日本料理,★★★,"月曜～土曜の昼, 日曜","夜＝37,000-43,000円",-,〇,-,-,-,〇,http://www.nihonryori-kanda.com/,050-5488-5416
港区,西麻布１丁目,-,東京都港区西麻布 1-11-13,35.660719,139.724149,洋食ビストロ TŌYAMA,洋食,ビブグルマン,"月曜, 火曜～土曜の昼, 日曜","夜＝6,000-8,000円",〇,-,-,-,-,〇,http://ueno-tooyama.jp/nishiazabu-tooyama/,050-5488-9701
千代田区,平河町２丁目,-,東京都千代田区平河町 2-16-15 ザ・キタノホテル 2F,35.679254,139.740974,サンパウ,スペイン料理,★,不定休,"昼＝8,500-39,000円　夜＝19,000-39,000円",-,〇,〇,-,〇,〇,https://www.santpau.jp/,050-5492-4339
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前 5-23-3,35.664471,139.704681,玉笑,蕎麦,★,"月曜, 日曜","昼＝2,000-4,000円　夜＝3,000-10,000円",-,-,-,-,-,-,-,03-5485-0025
中央区,築地３丁目,-,東京都中央区築地 3-16-9 アーバンメイツビル B1F,35.666322,139.771244,清壽,天ぷら,★,"月曜, 火曜～日曜の昼","夜＝24,000円",-,-,-,-,-,〇,-,03-3546-2622
港区,麻布十番２丁目,-,東京都港区麻布十番 2-5-14 マイコーナービル B1F,35.656423,139.733223,あざぶ 一期,おでん,★,"月曜, 火曜～日曜の昼","夜＝10,000-16,000円",-,-,-,-,-,〇,https://www.azabu-ichigo.com/,03-5772-2936
港区,白金台５丁目,-,東京都港区白金台 5-17-9 コスモ白金ヒルズ B1F,35.637466,139.723222,天ぷら 銀屋,天ぷら,★★,"月曜～土曜の昼, 日曜","夜＝21,000円",-,-,-,-,-,〇,-,03-5422-7612
港区,西麻布２丁目,-,東京都港区西麻布 2-14-5,35.660047,139.722699,おそばの甲賀,蕎麦,ビブグルマン,"月曜, 日曜","昼＝1,000-5,000円　夜＝1,500-7,000円",〇,-,-,-,-,-,http://osobanokouga.com/,050-5487-4942
渋谷区,上原１丁目,-,東京都渋谷区上原 1-35-3,35.669553,139.682074,sio,イノベーティブ,★,水曜,"昼＝8,500-14,000円　夜＝13,000-17,000円",-,-,-,-,-,〇,http://sio-yoyogiuehara.com/,050-5487-4412
港区,東麻布１丁目,-,東京都港区東麻布 1-7-9,35.657309,139.743447,東麻布 天本,寿司,★★,"月曜～火曜の昼, 水曜, 木曜～土曜の昼, 日曜","夜＝39,000-42,000円",-,-,-,-,-,〇,http://higashiazabuamamoto.com/,03-6885-2274
港区,麻布十番３丁目,-,東京都港区麻布十番 3-7-5,35.653515,139.734984,麻布十番 ふくだ,日本料理,★,不定休,"夜＝31,000-37,000円",-,〇,-,-,-,〇,-,03-6453-7256
港区,南青山４丁目,-,東京都港区南青山 4-3-23 オリエンタル南青山 2F,35.666121,139.72019,オルグイユ,フランス料理,★,"月曜, 火曜, 日曜","昼＝15,000円　夜＝15,000円",-,-,-,-,-,〇,http://orgueil.net/,050-5486-5732
千代田区,外神田５丁目,-,東京都千代田区外神田 5-5-2,35.703966,139.772654,鳥つね 自然洞,鳥料理,ビブグルマン,日曜,"昼＝1,500-3,000円　夜＝2,500-8,000円",-,〇,-,-,-,-,-,03-5818-3566
港区,西麻布４丁目,-,東京都港区西麻布 4-18-20,35.658291,139.718963,西麻布 鮨 真,寿司,★,"月曜, 火曜の昼","昼＝9,500-18,000円　夜＝25,000円",-,〇,-,-,-,〇,http://sushi-shin.com/,03-5485-0031
港区,麻布十番１丁目,-,東京都港区麻布十番 1-7-2,35.656517,139.734512,グレイス,韓国料理,ビブグルマン,不定休,"昼＝1,000-4,000円　夜＝3,000-8,000円",-,-,-,-,-,〇,http://samgetang.jp/,03-3475-6972
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西 2-17-5 サンビレッジ代官山 2F,35.648948,139.705953,レクテ,フランス料理,★,水曜,"昼＝5,500-17,000円　夜＝16,000-19,000円",-,〇,-,-,-,〇,http://www.recte.jp/,050-5488-6241
中央区,銀座５丁目,-,東京都中央区銀座 5-4-6 ロイヤルクリスタル銀座 9F,35.671711,139.7633,エスキス,フランス料理,★★,不定休,"昼＝13,000-22,000円　夜＝25,000-31,000円",-,〇,-,-,-,〇,https://www.esquissetokyo.com/,03-5537-5580
港区,白金６丁目,-,東京都港区白金 6-22-19,35.644293,139.721835,酉玉 本館,焼鳥,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝4,000-6,000円",-,-,-,-,-,〇,-,050-5487-3724
港区,白金台３丁目,-,東京都港区白金台 3-18-5 NKビル 2F,35.63525,139.721066,地蔵鮓,寿司,★,"月曜, 火曜, 水曜, 木曜～土曜の昼, 日曜","夜＝26,000円",-,-,-,-,-,〇,-,-
新宿区,荒木町,-,東京都新宿区荒木町 7,35.689235,139.722125,酒肴 タキギヤ,居酒屋,ビブグルマン,"月曜～金曜の昼, 土曜, 日曜","夜＝3,500-6,000円",-,-,-,-,-,〇,-,-
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南 1-17-2 Rホール 3F,35.644596,139.710459,韓国食堂 入ル 坂上ル,韓国料理,ビブグルマン,不定休,"夜＝4,000-6,500円",-,〇,-,-,-,〇,-,-
新宿区,舟町,-,東京都新宿区舟町 15,35.691552,139.721123,すし処 志げる,寿司,ビブグルマン,不定休,"夜＝3,000-8,000円",-,-,-,-,-,〇,-,-
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷 1-3-12 サンシティ富ヶ谷 4F,35.669356,139.689107,マル・デ・クリスチアノ,ポルトガル料理,ビブグルマン,不定休,"夜＝4,000-5,000円",-,-,-,-,-,〇,-,-
港区,白金１丁目,-,東京都港区白金 1-1-12,35.646974,139.731871,ロッツォ シチリア,イタリア料理,ビブグルマン,"月曜, 火曜～土曜の昼, 日曜","夜＝5,000-7,000円",〇,-,-,-,-,〇,-,-
港区,白金６丁目,-,東京都港区白金 6-5-5,35.644374,139.72513,私厨房 勇,中国料理,★,"月曜, 火曜～日曜の昼","夜＝9,500円",-,-,-,-,-,〇,-,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町 2-9-7,35.686076,139.784046,天ぷら やぐち,天ぷら,★,木曜,"昼＝2,000-17,000円　夜＝17,000円",〇,-,-,-,-,〇,-,-
新宿区,下落合３丁目,-,東京都新宿区下落合 3-2-16,35.721931,139.704639,田のじ,おでん,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝3,000-5,000円",-,-,-,-,-,〇,-,-
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2-3-18,35.673176,139.712721,傳,日本料理,★★,"月曜～土曜の昼, 日曜","夜＝23,000円",-,〇,-,-,-,〇,-,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1-2-1 フォーシーズンズホテル東京大手町 39F,35.687856,139.763272,エスト,フランス料理,★,水曜,"昼＝7,500-17,000円　夜＝20,000-25,000円",〇,〇,〇,-,〇,〇,-,-
新宿区,荒木町,-,東京都新宿区荒木町 3-22,35.688905,139.722614,車力門 ちゃわんぶ,とんかつ,ビブグルマン,水曜,"昼＝3,500-8,500円　夜＝3,500-8,500円",-,-,-,-,-,〇,-,-
新宿区,新宿１丁目,-,東京都新宿区新宿 1-17-1,35.689149,139.711912,切麦や 甚六,うどん,ビブグルマン,不定休,"昼＝1,000-1,500円　夜＝1,000-3,000円",〇,-,-,-,-,-,-,-
千代田区,平河町２丁目,-,東京都千代田区平河町 2-5-7 ヒルクレスト平河町 B1F,35.67972,139.738677,ヌー トウキョウ,フランス料理,★,"月曜, 火曜～水曜の昼, 日曜","昼＝4,500-6,500円　夜＝8,500-16,000円",〇,〇,-,-,-,〇,-,-
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場 2-13-9,35.712949,139.707515,とんかつ ひなた,とんかつ,ビブグルマン,日曜,"昼＝1,500-5,000円　夜＝1,500-5,000円",-,-,-,-,-,-,-,-
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南 2-17-1,35.642735,139.708989,酒家 の元,居酒屋,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-7,000円",〇,-,-,-,-,〇,-,-
中央区,銀座８丁目,-,東京都中央区銀座 8-18-6,35.666017,139.765006,手打ち蕎麦 成冨,蕎麦,ビブグルマン,日曜,"昼＝1,000-5,000円　夜＝3,000-5,000円",-,-,-,-,-,-,-,-
江東区,高橋,-,東京都江東区高橋 9-3,35.685299,139.799097,ピッツェリア ベッラ ナポリ,ピッツァ,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝2,000-5,000円",-,-,-,-,-,〇,-,-
中央区,銀座３丁目,-,東京都中央区銀座 3-11-6 鈴木ビル 2F,35.670911,139.768844,時喰み,居酒屋,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-8,000円",-,-,-,-,-,〇,-,-
中央区,銀座２丁目,-,東京都中央区銀座 2-7-12 ブルガリ銀座タワー 9F,35.67293,139.767305,ブルガリ イル・リストランテ ルカ・ファンティン,イタリア料理,★,不定休,"昼＝14,000-21,000円　夜＝23,000-31,000円",-,〇,-,-,〇,〇,-,-
港区,南青山４丁目,-,東京都港区南青山 4-11-2,35.665896,139.717993,伯雲,日本料理,★,"月曜～土曜の昼, 日曜","夜＝31,000円",〇,〇,-,-,-,〇,-,-
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町 7-12 Gran Duo 渋谷 B1F,35.654075,139.702231,かつお食堂,日本料理,ビブグルマン,不定休,"昼＝1,500-2,500円",〇,-,-,-,-,-,-,-
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷 1-3-12 サンシティ富ヶ谷 3F,35.669356,139.689107,静流,日本料理,ビブグルマン,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝6,000-8,000円",-,-,-,-,-,〇,-,-
渋谷区,西原３丁目,-,東京都渋谷区西原 3-21-2,35.670648,139.681832,按田餃子,餃子,ビブグルマン,不定休,"昼＝1,000-2,500円　夜＝1,000-2,500円",-,-,-,-,-,-,-,-
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-17-8 アプリシエ広尾 B1F,35.649465,139.720394,ボッテガ,イタリア料理,★,"月曜～土曜の昼, 日曜","夜＝10,000-13,000円",-,-,-,-,-,〇,-,-
港区,東麻布３丁目,-,東京都港区東麻布 3-7-5,35.656281,139.738542,中国飯店 富麗華,中国料理,★,不定休,"昼＝3,000-44,000円　夜＝10,000-49,000円",-,〇,〇,-,-,〇,-,-
中央区,銀座５丁目,-,東京都中央区銀座 5-8-1 GINZA PLACE 7F,35.670855,139.765011,ラルジャン,フランス料理,★,月曜,"昼＝8,500-22,000円　夜＝19,000-22,000円",〇,-,-,-,-,〇,-,-
千代田区,内神田１丁目,-,東京都千代田区内神田 1-15-7,35.691853,139.765549,西洋料理 七條,洋食,ビブグルマン,"土曜の夜, 日曜","昼＝1,500-2,500円　夜＝2,500-6,000円",-,〇,-,-,-,-,-,-
新宿区,荒木町,-,東京都新宿区荒木町 6-39,35.689241,139.722606,車力門 おの澤,日本料理,★,"月曜～土曜の昼, 日曜","夜＝20,000円",〇,-,-,-,-,〇,-,-
中央区,築地６丁目,-,東京都中央区築地 6-6-4,35.665456,139.773597,鮨 桂太,寿司,★,"月曜, 火曜の昼, 木曜～金曜の昼","昼＝11,000-20,000円　夜＝20,000円",-,-,-,-,-,〇,-,-
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町 3-1-19,35.695508,139.754895,神保町 黒須,ラーメン,ビブグルマン,"月曜～土曜の夜, 日曜","昼＝1,000-2,000円",-,-,-,-,-,-,-,-
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-3-2,35.659872,139.708833,琉球チャイニーズダイニング TAMA,沖縄料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝4,000-6,000円",-,-,-,-,-,〇,-,-
新宿区,荒木町,-,東京都新宿区荒木町 10,35.689777,139.722659,荒木町 たつや,日本料理,★,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝10,000円",-,-,-,-,-,〇,-,-
中央区,銀座２丁目,-,東京都中央区銀座西 2-2 銀座インズ2 2F,35.67462,139.764908,バンゲラズ キッチン,インド料理,ビブグルマン,不定休,"昼＝1,000-5,000円　夜＝2,000-5,000円",-,-,-,-,-,〇,-,-
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-4-16 EAT PLAY WORKS 2F,35.650809,139.721777,グラシア ガストロバル デ バルセロナ,スペイン料理,ビブグルマン,不定休,"昼＝4,000-9,000円　夜＝5,000-9,000円",〇,-,-,-,-,〇,-,-
渋谷区,元代々木町,-,東京都渋谷区元代々木町 10-8,35.670137,139.684521,REI,中国料理,ビブグルマン,日曜,"昼＝1,500-2,000円　夜＝4,000-6,000円",〇,-,-,-,-,〇,-,-
渋谷区,代々木４丁目,-,東京都渋谷区代々木 4-1-6,35.679202,139.693723,roku,フランス料理,ビブグルマン,水曜,"昼＝3,500-5,500円　夜＝5,000-8,000円",〇,-,-,-,-,〇,-,-
港区,元麻布３丁目,-,東京都港区元麻布 3-10-5 カドル元麻布 2F,35.656847,139.731853,天 よこた,天ぷら,★,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝16,000円",〇,-,-,-,-,〇,-,-
港区,南青山６丁目,-,東京都港区南青山 6-4-6,35.661444,139.716471,プリズマ,イタリア料理,★★,"月曜の昼, 火曜, 水曜, 木曜～日曜の昼","夜＝19,000-21,000円",-,-,-,-,-,〇,-,-
港区,西麻布４丁目,-,東京都港区西麻布 4-2-13 八幡ビル 3F,35.658639,139.723165,霞町 やまがみ,日本料理,★,"月曜, 火曜～日曜の昼","夜＝19,000-37,000円",-,〇,-,-,-,〇,-,-
港区,麻布十番１丁目,-,東京都港区麻布十番 1-5-5 Yuken Azabu.10 4F,35.657336,139.732942,麻布 六角,居酒屋,★,不定休,"夜＝15,000-20,000円",-,-,-,-,-,〇,-,-
港区,白金台４丁目,-,東京都港区白金台 4-2-7 Bld桜なみき 2F,35.639308,139.728016,シノワ,中国料理,★,不定休,"夜＝37,000円",-,-,-,-,-,〇,-,-
中央区,銀座８丁目,-,東京都中央区銀座 8-8-19 伊勢由ビル 5F,35.668516,139.761556,銀座 福樹,日本料理,★★,"月曜～金曜の昼, 土曜, 日曜","夜＝37,000-61,000円",-,〇,-,-,-,〇,-,-
新宿区,百人町１丁目,-,東京都新宿区百人町 1-24-7,35.698606,139.697569,スパイシー カレー 魯珈,カレー,ビブグルマン,"月曜の夜, 水曜の夜, 金曜の夜, 土曜, 日曜","昼＝1,000-1,500円　夜＝1,000-1,500円",-,-,-,-,-,-,-,-
港区,南青山１丁目,-,東京都港区南青山 1-3-21 1-55ビル 2F,35.671024,139.725209,てのしま,日本料理,★,"月曜～土曜の昼, 日曜","夜＝17,000円",-,-,-,-,-,〇,-,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内 1-11-1 フォーシーズンズホテル丸の内 東京 7F,35.678096,139.766839,セザン,フランス料理,★,"月曜, 火曜","昼＝13,000-31,000円　夜＝31,000円",〇,〇,〇,-,〇,〇,-,-
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷 1-51-10,35.668648,139.689051,クリスチアノ,ポルトガル料理,ビブグルマン,不定休,"夜＝4,000-5,000円",-,-,-,-,-,〇,-,-
渋谷区,宇田川町,-,東京都渋谷区宇田川町 41-26 パピエビル 2F,35.66274,139.695259,ポークビンダルー食べる副大統領,カレー,ビブグルマン,不定休,"昼＝1,000-1,500円　夜＝1,000-1,500円",-,-,-,-,-,-,-,-
港区,六本木７丁目,六本木,東京都港区六本木 7-6-2,35.664538,139.72827,PST 六本木店,ピッツァ,ビブグルマン,月曜,"昼＝3,000-4,000円　夜＝3,000-4,000円",-,-,-,-,-,〇,-,-
新宿区,横寺町,-,東京都新宿区横寺町 37-39,35.701182,139.736207,梅香,中国料理,ビブグルマン,"月曜, 火曜","昼＝2,000-9,000円　夜＝3,000-9,000円",-,-,-,-,-,〇,-,-
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-4-16 EAT PLAY WORKS 2F,35.650809,139.721777,ビストロ ネモ,フランス料理,ビブグルマン,"月曜～火曜の昼, 水曜, 木曜～金曜の昼","昼＝5,000-7,000円　夜＝5,000-7,000円",〇,-,-,-,-,〇,-,-
新宿区,下落合３丁目,-,東京都新宿区下落合 3-15-25,35.722309,139.702348,秋田料理 五城目,居酒屋,ビブグルマン,"月曜, 火曜～土曜の昼, 日曜","夜＝4,000-6,000円",-,-,-,-,-,〇,-,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内 1-1-1 パレスホテル 5F,35.684591,139.761461,中国飯店 琥珀宮,中国料理,★,不定休,"昼＝4,500-44,000円　夜＝16,000-44,000円",-,〇,〇,-,〇,〇,-,-
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2-19-12,35.673454,139.710205,神宮前 樋口,日本料理,★★,"月曜～土曜の昼, 日曜","夜＝31,000-37,000円",-,〇,-,-,-,〇,-,-
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前 3-42-5,35.670965,139.713807,ブラマソーレ,イタリア料理,ビブグルマン,日曜,"昼＝2,000-3,000円　夜＝5,000-7,000円",-,-,-,-,-,〇,-,-
中央区,日本橋兜町,-,東京都中央区日本橋兜町 8-1,35.681779,139.778096,Neki,フランス料理,ビブグルマン,水曜,"昼＝1,500-5,500円　夜＝6,000-9,000円",〇,-,-,-,-,〇,-,-
千代田区,九段北１丁目,-,東京都千代田区九段北 １-9-12,35.69793,139.750759,錦福 香港美食,中国料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝4,000-6,000円",-,-,-,-,-,〇,-,-
中央区,銀座７丁目,-,東京都中央区銀座 7-6-2 銀座門ビル 5F,35.669952,139.762106,鮨 むらやま,寿司,★,"月曜～土曜の昼, 日曜","夜＝31,000円",-,-,-,-,-,〇,-,-
渋谷区,松涛２丁目,-,東京都渋谷区松濤 2-14-5,35.658685,139.692432,松濤 爛缶,居酒屋,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝6,000-8,000円",〇,-,-,-,-,〇,-,-
中央区,銀座３丁目,-,東京都中央区銀座 3-14-2,35.670539,139.770139,中華そば 銀座 八五,ラーメン,★,水曜,"昼＝1,500-2,000円　夜＝1,500-2,000円",-,-,-,-,-,-,-,-
中央区,銀座７丁目,-,東京都中央区銀座7-3-8 Hulic & New Ginza 7 5F,35.670233,139.760426,鮨 こじま,寿司,★,"月曜～土曜の昼, 日曜","夜＝28,000円",〇,〇,-,-,-,〇,-,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町 2-11-9,35.685432,139.784338,アンファス,フランス料理,ビブグルマン,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝4,000-6,000円",-,-,-,-,-,〇,-,-
港区,麻布台３丁目,-,東京都港区麻布台 3-4-11,35.660539,139.739028,シリーズ,中国料理,★,不定休,"昼＝9,000円　夜＝9,000-14,000円",-,-,-,-,-,〇,-,-
渋谷区,元代々木町,-,東京都渋谷区元代々木町 8-8,35.670164,139.685304,ル・キャバレ,フランス料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-6,000円",-,-,-,-,-,〇,-,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲 2-7-9,35.677163,139.768516,ダバ インディア,インド料理,ビブグルマン,不定休,"昼＝1,000-4,000円　夜＝2,500-4,000円",-,-,-,-,-,-,-,-
港区,新橋２丁目,虎ノ門広域,東京都港区新橋 2-11-5,35.667044,139.755404,新橋 かま田,おでん,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝4,000-5,000円",-,-,-,-,-,〇,-,-
港区,北青山２丁目,-,東京都港区北青山 2-12-27 DECOR青山 5F,35.669679,139.715371,鮨 将司,寿司,★,日曜,"昼＝20,000-26,000円　夜＝26,000円",〇,〇,-,-,-,〇,-,-
渋谷区,桜丘町,-,東京都渋谷区桜丘町 28-2,35.655528,139.699218,高太郎,居酒屋,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝6,000-8,000円",-,-,-,-,-,〇,-,-
渋谷区,神山町,-,東京都渋谷区神山町 11-10 梅澤ビル B1F,35.66301,139.694648,すし 光琳,寿司,ビブグルマン,不定休,"夜＝4,000-8,000円",〇,-,-,-,-,〇,-,-
中央区,銀座５丁目,-,東京都中央区銀座 5-9-19 MCビル 3F,35.670477,139.765336,さわ田,寿司,★★,"月曜, 日曜の夜","昼＝28,000円　夜＝38,000円",-,-,-,-,-,〇,-,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-30-2,35.68269,139.783768,高柿の鮨,寿司,★,"水曜, 日曜","昼＝11,000-13,000円　夜＝23,000-25,000円",-,-,-,-,-,〇,-,-
中央区,銀座５丁目,-,東京都中央区銀座 5-6-10 ミヤコビル 4F,35.670841,139.763606,喰善 あべ,日本料理,★,"月曜～土曜の昼, 日曜","夜＝24,000円",-,-,-,-,-,〇,-,-
港区,白金１丁目,-,東京都港区白金 1-12-19,35.645399,139.734145,今福,すき焼,★,不定休,"昼＝11,000-20,000円　夜＝11,000-20,000円",-,〇,-,-,-,〇,-,-
渋谷区,代々木５丁目,-,東京都渋谷区代々木 5-66-4,35.671401,139.690409,ヨヨナム,ベトナム料理,ビブグルマン,不定休,"昼＝1,500-2,000円　夜＝3,500-6,000円",-,〇,-,-,-,〇,-,-
品川区,南大井６丁目,-,東京都品川区南大井 6-11-10,35.590794,139.732859,Homemade Ramen 麦苗,ラーメン,ビブグルマン,"月曜～火曜の夜, 水曜, 木曜, 金曜～日曜の夜","昼＝1,000-1,500円",-,-,-,-,-,-,-,-
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前 3-42-11,35.671662,139.713832,とんかつ 七井戸,とんかつ,ビブグルマン,"月曜～金曜の夜, 土曜, 日曜","昼＝1,500-4,000円",-,-,-,-,-,-,-,-
千代田区,神田富山町,-,東京都千代田区神田富山町 29,35.693314,139.773771,吉平,とんかつ,ビブグルマン,"月曜, 火曜～土曜の夜, 日曜","昼＝1,500-6,000円",-,-,-,-,-,-,-,-
品川区,西五反田２丁目,-,東京都品川区西五反田 2-18-3,35.626501,139.721353,麺屋 彩音,ラーメン,ビブグルマン,日曜,"昼＝1,000-2,000円　夜＝1,000-2,000円",〇,-,-,-,-,-,-,-
渋谷区,広尾１丁目,-,東京都渋谷区広尾 1-12-15,35.648026,139.715272,創和堂,居酒屋,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-8,000円",〇,〇,-,-,-,〇,-,-
渋谷区,東３丁目,-,東京都渋谷区東 3-16-1,35.649792,139.710078,WASA,中国料理,★,"月曜, 火曜～土曜の昼, 日曜","夜＝31,000円",〇,-,-,-,-,〇,-,-
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町 2-2-1,35.695322,139.783543,ノル,イノベーティブ,★,"月曜の昼, 火曜, 水曜, 木曜～日曜の昼","夜＝15,000円",〇,-,-,-,-,〇,-,-
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門 5-3-3,35.662747,139.744208,空花,日本料理,★,日曜,"昼＝7,500-19,000円　夜＝19,000-31,000円",〇,〇,-,-,-,〇,-,-
港区,新橋３丁目,虎ノ門広域,東京都港区新橋 3-8-5 ル・グラシエルビルディング13号 B1F,35.665475,139.755593,立喰い寿司 あきら,寿司,ビブグルマン,不定休,"昼＝4,000-8,000円　夜＝4,000-8,000円",〇,-,-,-,-,-,-,-
港区,西麻布１丁目,-,東京都港区西麻布 1-4-23,35.661483,139.72391,西麻布 大竹,日本料理,★,"月曜～火曜の昼, 水曜, 木曜の昼","昼＝5,500-16,500円　夜＝16,500円",〇,〇,-,-,-,〇,-,-
港区,白金５丁目,-,東京都港区白金 5-8-13,35.644615,139.726435,やきとり 陽火,焼鳥,ビブグルマン,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝5,000-7,000円",〇,-,-,-,-,〇,-,-
