指標名,観光地,,,,,Tripadvisorの取得範囲の変更について,,,,,
出典,Tripadvisor,,,,,前回までTripadvisorの全観光スポットを取得していたが、2021年度から観光カテゴリーを,,,,,
年次,2022/1/27 取得,,,,,「名所・有名スポット」に絞って情報を取得している、観光スポット全体の件数が昨年から倍増しており、,,,,,
URL,https://www.tripadvisor.jp/,,,,,個人名で登録された観光ツアーや、バーなど営業状況が不明な登録地が散見されたため。,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL,
千代田区,飯田橋２丁目,-,東京都千代田区飯田橋2-3-6 spaceTORICO,35.698657,139.750772,マンガ展,アートギャラリー • 専門美術館 • イベントスペース,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d14936986-Reviews-Manga10_Manga_Exhibition-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田淡路町２丁目,-,東京都千代田区神田淡路町2-4-6,35.69633,139.76803,延壽稲荷神社,神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15881007-Reviews-Enjuinari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-7-1,35.674507,139.761478,有楽町電気ビル,名所・有名スポット,3.5,7件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d16646468-Reviews-Yurakucho_Denki_Bldg-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-9,35.702224,139.767255,大伝馬町八雲神社,神社/寺院/教会など,3.5,8件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17439573-Reviews-Odemmacho_Yakumo_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞ケ関 2丁目,35.676515,139.750707,潮見坂,眺めのよい散策エリア,3.5,5件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d17399102-Reviews-Shiomi_zaka_Slope-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田和泉町,-,東京都千代田区神田和泉町1-3-12,35.70038,139.776485,和泉町ポンプ所,旧跡,3.5,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12153046-Reviews-Izumicho_Pumping_Station-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園2-4,35.694116,139.749701,弥生慰霊堂,旧跡 • 記念碑＆像,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17347870-Reviews-Yayoi_Memorial_Hall-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1,35.698011,139.774079,和泉橋,旧跡 • 橋,3,7件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817480-Reviews-Izumi_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,35.679695,139.736948,旧北白川宮邸洋館,旧跡,4.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d19174961-Reviews-Former_Western_style_Residence_for_Prince_Kitashirakawa-Chiyoda_Tokyo_Tokyo_Pre.html,　
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699016,139.777421,金綱稲荷神社,神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817591-Reviews-Kintsuna_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞ケ関 3-2-1 霞ヶ関コモンゲート西館,35.671849,139.747977,工部大学校阯碑,記念碑＆像,3,6件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d15113631-Reviews-Imperial_College_of_Engineering_Monument-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Pref.html,　
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞ケ関 3,35.672324,139.748776,三年坂,旧跡 • 名所・有名スポット,3,7件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d15113598-Reviews-Sannenzaka-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,富士見２丁目,-,東京都千代田区富士見2-3-16,35.699988,139.744459,旗本屋敷跡,旧跡,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16665753-Reviews-The_Site_of_Hatamoto_Mansion-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園2-4,35.694116,139.749701,昭和天皇御野立所,記念碑＆像,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17376662-Reviews-Showa_Tenno_Onodatesho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2 神田明神,35.702032,139.767885,角田竹冷の句碑,記念碑＆像,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d14957062-Reviews-Tsunoda_Chikurei_no_Ku_Monument-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16,35.702046,139.767607,小舟町八雲神社,神社/寺院/教会など,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17439566-Reviews-Kobunecho_Yakumo_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16,35.702046,139.767607,末広稲荷神社,神社/寺院/教会など,3.5,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17439590-Reviews-Suehiro_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1丁目4,35.69055,139.760169,一ツ橋門石垣跡,古代遺跡,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d17353012-Reviews-Hitotsubashimon_Ishigaki_Ruins-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,一番町,-,東京都千代田区一番町,35.68614,139.741401,永井坂,歴史散策地区,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d14168378-Reviews-Nagaizaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,岩本町２丁目,-,東京都千代田区岩本町2丁目5-5,35.694303,139.775802,お玉ヶ池跡,記念碑＆像,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d18543627-Reviews-Otamagaike_Pond_Site-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田1-1,35.683823,139.753814,北桔橋門,旧跡 • 建築物 • 城,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17427863-Reviews-Kita_Hanebashi_mon_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,西神田３丁目,-,東京都千代田区西神田3丁目5,35.697841,139.753131,傳蔵地蔵尊,旧跡,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17376399-Reviews-Denzo_Jizoson-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田２丁目,-,東京都千代田区内神田2丁目13-3,35.69122,139.768672,神田駅西口商店街,名所・有名スポット,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17580832-Reviews-Kanda_Station_West_Entrance_Shotengai-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田佐久間町３丁目,-,東京都千代田区神田佐久間町3-21,35.698025,139.77901,ラジオ体操会発祥の地,旧跡 • 記念碑＆像,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817580-Reviews-RadioTaisokai_Birthplace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-4-1,35.68421,139.764863,さわり大黒,記念碑＆像,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d17613823-Reviews-Sawari_Daikoku-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段南１丁目,-,東京都千代田区九段南1-2-1,35.694002,139.753634,江戸幕府蔵屋敷の礎石,記念碑＆像,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12152884-Reviews-Edo_Bakufu_Kurayashiki_no_Soseki-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,岩本町２丁目,-,東京都千代田区岩本町2丁目5,35.694064,139.776057,繁栄お玉稲荷神社,神社/寺院/教会など,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17713961-Reviews-Hanei_Otama_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田淡路町２丁目,-,東京都千代田区神田淡路町2,35.696366,139.767494,新坂,名所・有名スポット,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15076450-Reviews-Shinzaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞ケ関 2,35.676515,139.750707,霞が関坂,名所・有名スポット,3.5,4件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d17395996-Reviews-Kasumigasekizaka-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,丸の内３丁目,大丸有,東京都千代田区丸ノ内 3丁目3,35.677446,139.762575,くまモンのベンチアート,名所・有名スポット • 記念碑＆像,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d19381139-Reviews-Kumamon_s_Bench_Art-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,六番町,-,東京都千代田区六番町3-1 グランフォルム六番町,35.687658,139.73588,明治女学校跡,旧跡 • 記念碑＆像,2,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15758019-Reviews-The_Site_of_Meiji_Girls_School_Foundation-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞ケ関 3-8-1,35.669944,139.747707,江藤新平君遭難遺址碑,記念碑＆像,3,3件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d17558832-Reviews-Endo_Shimpei_Kun_Sonan_Ishihi-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kant.html,　
千代田区,隼町,-,東京都千代田区隼町4,35.681101,139.74391,渡辺崋山誕生地,旧跡,2.5,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12076097-Reviews-Birthplace_of_Watanabe_Kazan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-5,35.669208,139.757606,樋口一葉生誕の地,旧跡,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15116812-Reviews-Ichiyo_Higuchi_Birthplace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田１丁目,-,東京都千代田区内神田 1-3,35.690159,139.765327,神田橋,橋,3,6件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817688-Reviews-Kanda_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-6 御茶ノ水ソラシティ,35.698624,139.766702,軍艦山,旧跡 • 記念碑＆像,2.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15153684-Reviews-Gunkanyama-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田２丁目,-,東京都千代田区内神田2-1,35.689037,139.767852,物揚場跡,名所・有名スポット • 記念碑＆像,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598714-Reviews-The_Site_of_Monoageba-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,四番町,-,東京都千代田区四番町1,35.689425,139.73959,網野菊旧居跡,名所・有名スポット,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12151975-Reviews-Mark_of_the_Former_House_of_Amino_Kiku-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,岩本町１丁目,-,東京都千代田区岩本町1丁目1,35.6913,139.775863,神田八丁堀跡,名所・有名スポット • 記念碑＆像,2.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d18543628-Reviews-Remains_of_Kanda_Hatchobori-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1-9-4 フィナンシャルシティ,35.687389,139.766147,庄内藩酒井家神田橋上屋敷跡,記念碑＆像,2.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d17322503-Reviews-Shonaihan_Sakaike_Kandabashi_Kamiyashiki_Ruins-Otemachi_Chiyoda_Tokyo_Tokyo_Pr.html,　
千代田区,九段北３丁目,-,東京都千代田区九段北3,35.694116,139.741154,富士見坂,眺めのよい散策エリア,3,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17732512-Reviews-Fujimi_zaka_Slope-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1丁目,35.68947,139.762572,神田橋門石垣跡,旧跡,3.5,4件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d17376573-Reviews-Remains_of_the_Kanda_Bridge_Gate_s_Stone_Wall-Otemachi_Chiyoda_Tokyo_Tokyo_Pre.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 2-5-1,35.67369,139.762514,朝日新聞東京本社跡,旧跡,3,3件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d17820043-Reviews-The_Site_of_Asahi_Shimbun_Former_Tokyo_Headquarters-Yurakucho_Chiyoda_Tokyo_To.html,　
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1丁目1,35.690922,139.757206,東京外国語学校発祥の地,名所・有名スポット • 記念碑＆像,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598729-Reviews-The_Site_of_Tokyo_School_of_Foreign_Languages_Origin-Chiyoda_Tokyo_Tokyo_Prefec.html,　
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町3丁目,35.695858,139.754172,俎橋,橋,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598514-Reviews-Manaita_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田錦町２丁目,-,東京都千代田区神田錦町2-9,35.691261,139.762839,学習院(華族学校)開校の地,記念碑＆像,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598709-Reviews-Gakushuin_Noble_School_Original_Location-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田１丁目,-,東京都千代田区内神田1丁目6,35.689898,139.766569,御宿稲荷神社,神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17713963-Reviews-Onjuku_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-1,35.697391,139.749853,東京女子医科大学発祥の地,記念碑＆像,2,5件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11808471-Reviews-The_Birthplace_of_Tokyo_Women_s_Medical_University-Chiyoda_Tokyo_Tokyo_Prefectu.html,　
千代田区,一番町,-,東京都千代田区一番町,35.687464,139.742712,袖摺坂,歴史散策地区,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d14168380-Reviews-Sodesurizaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,富士見２丁目,-,東京都千代田区富士見2-3-7,35.699613,139.745153,桐生稲荷神社,神社/寺院/教会など,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16665801-Reviews-Kiryu_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田４丁目,-,東京都千代田区外神田1-18-19 BiTO AKIBA 4階,35.698783,139.771904,ギンダコ秋葉横丁,名所・有名スポット,3,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d19434472-Reviews-Gindako_Akiba_Yokocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテル 東京,35.672127,139.758928,東光庵,名所・有名スポット,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13358494-Reviews-Tokoan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田,35.683801,139.753945,竹橋御門跡,古代遺跡,3,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17386649-Reviews-Takehashi_Gomon_Ruins-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,隼町,-,東京都千代田区隼町4-2,35.680498,139.743571,最高裁判所,名所・有名スポット • 建築物 • 政府庁舎,4.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d19764535-Reviews-Supreme_Court_of_Japan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-5,35.701221,139.74722,東京府立第四中学校発祥の地,記念碑＆像,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20140684-Reviews-The_Birthplace_of_Tokyo_Prefectural_Fourth_Junior_High_School-Chiyoda_Tokyo_Tok.html,　
千代田区,永田町１丁目,赤坂,東京都千代田区永田町1-1,35.678918,139.746596,電子基準点 千代田,記念碑＆像,3,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17722752-Reviews-Denshi_Kijunten_Chiyoda-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2,35.674926,139.741699,山王坂,旧跡,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20106749-Reviews-Sanno_Zaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-1,35.696022,139.768083,出世稲荷神社,神社/寺院/教会など,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17713965-Reviews-Shusse_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,大手町１丁目,大丸有,東京都千代田区大手町 1,35.68947,139.762572,震災いちょう,名所・有名スポット,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14129477-d17376416-Reviews-Shinsai_Icho-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,富士見２丁目,-,東京都千代田区富士見2-17-1 法政大学 市ケ谷キャンパス,35.695602,139.740876,アーネスト・サトウゆかりの屋敷跡,名所・有名スポット • 記念碑＆像,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17732548-Reviews-Monument_of_The_Mansion_Related_to_Ernest_Satow-Chiyoda_Tokyo_Tokyo_Prefecture_.html,　
千代田区,六番町,-,東京都千代田区六番町3,35.687278,139.735452,池寛旧居跡,旧跡,2.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17722866-Reviews-Site_of_Kikuchi_Kan_s_Former_Residence-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞ケ関 3-8-1,35.669944,139.747707,江藤新平君遭難遺址碑,記念碑＆像,3,1件,https://www.tripadvisor.jp/Attraction_Review-g14129569-d17692916-Reviews-The_Site_of_Etoshimpeikun_Sonan_Monument-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Pref.html,　
千代田区,九段南１丁目,-,東京都千代田区九段南1丁目2,35.693902,139.753475,宝田橋,名所・有名スポット • 橋,2.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17484673-Reviews-Takarada_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田１丁目,-,東京都千代田区外神田1-8-8,35.699252,139.770413,コトブキヤ 秋葉原館,専門店 • イベントスペース,4.5,38件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d7191575-Reviews-Kotobukiya_Akihabara-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2 神田明神文化交流館B1F,35.702032,139.767885,EDOCCO STUDIO,シアター • イベントスペース • 体験教室・ワークショップ,4.5,11件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817692-Reviews-Edocco_Studio-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田1,35.685562,139.753562,半蔵門,旧跡 • 名所・有名スポット • 建築物,4,4件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20253939-Reviews-Hanzo_mon_Gate-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,麹町４丁目,-,東京都千代田区麹町4-2 麹町ファーストビル,35.684333,139.736852,豊受稲荷神社,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23631027-Reviews-Toyoukeinari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-18-15,35.701344,139.767116,糀室 附 明治37年糀室之図,旧跡 • 建築物,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120568-Reviews-Kojishitsu_Fu_Meiji_37years_Kojishitsunozu-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-8,35.695244,139.76846,豊潤稲荷神社,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23294388-Reviews-Hojun_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田多町,-,東京都千代田区神田多町2-11,35.694686,139.768666,松尾神社,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23294401-Reviews-Matsuo_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,内神田３丁目,-,東京都千代田区内神田3-22-4,35.692431,139.770046,大柳稲荷神社,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23372004-Reviews-Oyanagiinari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田司町,-,東京都千代田区神田司町2-4,35.693314,139.767816,真徳稲荷神社,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23294391-Reviews-Shintoku_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町,35.696044,139.769732,万世橋,名所・有名スポット • 橋,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21105096-Reviews-Mansei_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田錦町２丁目,-,東京都千代田区神田錦町2−2−8,35.693503,139.762911,豊川稲荷,神社/寺院/教会など,4,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23163676-Reviews-Toyokawa_Inari-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田和泉町,-,東京都千代田区神田和泉町2-3,35.698775,139.779782,金綱稲荷神社,神社/寺院/教会など,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d23223482-Reviews-Kanaami_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町 2-1-1,35.672649,139.760517,有楽町産直横丁,名所・有名スポット,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d19717848-Reviews-Yurakucho_Sanchoku_Yokocho-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-5-2 東宝ツインタワービル1F,35.674427,139.759987,スモトのおべんと,専門店 • 名所・有名スポット,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g14129536-d15836784-Reviews-Sumoto_no_Obento-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-21,35.691525,139.761519,10 OVER 9 神田錦町,名所・有名スポット • レンタル用品,3.5,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17458246-Reviews-10_Over_9_Kandanishikicho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段南３丁目,-,東京都千代田区九段南3-3-18 Nishichizan Fudo-in Temple,35.691938,139.742296,二七山不動尊,神社/寺院/教会など,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20344709-Reviews-Nishichizan_Fudoson-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,隼町,-,東京都千代田区隼町,35.681237,139.74266,鍋割坂,歴史散策地区,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20378623-Reviews-Nabewari_zaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-9,35.702224,139.767255,大伝馬町八雲神社 鉄製天水桶,名所・有名スポット,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21283457-Reviews-Odemmacho_Yakumo_Shrine_Iron_Rainwater_Tank-Chiyoda_Tokyo_Tokyo_Prefecture_Kant.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702032,139.767885,御社殿（国登録有形文化財）,名所・有名スポット • 建築物 • 神社/寺院/教会など,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120552-Reviews-Goshinden_Registered_National_Treasurer_Building-Chiyoda_Tokyo_Tokyo_Prefecture.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702032,139.767885,随神門,神社/寺院/教会など,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120456-Reviews-Zuishimmon-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702032,139.767885,だいこく様尊像,神社/寺院/教会など • 記念碑＆像,3,2件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120499-Reviews-Daikokusamasonzo-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702032,139.767885,少彦名命（えびす様）ご尊像,神社/寺院/教会など • 記念碑＆像,3,1件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120628-Reviews-Sukunabikonano_Mikoto_Ebisu_Statue-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
