指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000、https://fortune.com/global500/2021,,,,,,,,,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Fortune,,,,,,,,Forbes,,,,,
港区,港南２丁目,-,東京都港区港南２丁目１５番２号　,35.626151,139.74206,Obayashi,株式会社大林組,Forbes Global 2021,-,-,-,-,-,-,-,-,904,▼105,$17.3 B,$866.3 M,$21.5 B,$6.9 B
千代田区,飯田橋２丁目,-,東京都千代田区飯田橋２丁目１８番４号,35.69978,139.750922,Otsuka,株式会社大塚商会,Forbes Global 2021,-,-,-,-,-,-,-,-,1945,▼332,$7.8 B,$368.2 M,$4.6 B,$9.2 B
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－４－３　日本橋室町野村ビル,35.687329,139.773914,Shinsei Bank,株式会社新生銀行,Forbes Global 2021,-,-,-,-,-,-,-,-,1686,▼387,$2.7 B,$249.6 M,$101.9 B,$3.3 B
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３－２,35.687179,139.768094,Sumitomo,株式会社三井住友銀行,Forbes Global 2021,-,-,-,-,-,-,-,-,663,▼373,$43.6 B,$-1.4 B,$75.3 B,$17.8 B
江東区,木場１丁目,-,東京都江東区木場１丁目５番６５号　深川ギャザリア　Ｗ２棟,35.66733,139.803271,Resona Holdings,株式会社りそなホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,642,△12,$7.4 B,$1.3 B,$682.5 B,$9.5 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－９－２,35.678637,139.767375,Recruit Holdings,株式会社リクルートホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,408,△26,$21 B,$1.2 B,$20.4 B,$77.3 B
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番２号,35.67746,139.767712,Mebuki Financial Group,株式会社めぶきフィナンシャルグループ,Forbes Global 2021,-,-,-,-,-,-,-,-,1527,▼147,$2.1 B,$285 M,$221.7 B,$2.6 B
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番１５号,35.677204,139.768215,Medipal Holdings,株式会社メディパルホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,1428,▼15,$30 B,$249.9 M,$16.9 B,$4.2 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５–５,35.685512,139.765398,Mizuho Financial,株式会社みずほフィナンシャルグループ ,Forbes Global 2021,-,-,-,-,-,-,-,-,129,△113,$30.3 B,$3.7 B,"$2,110.5 B",$36.3 B
中央区,京橋３丁目,日八京,東京都中央区京橋３丁目１番１号　,35.6761,139.768382,Bridgestone,株式会社ブリヂストン,Forbes Global 2021,-,-,-,-,-,-,-,-,685,▼358,$28 B,$-218.2 M,$40.6 B,$28.7 B
港区,芝５丁目,-,東京都港区芝５丁目３７－８　バンダイナムコ未来研究所,35.644644,139.744531,Bandai Namco Holdings,株式会社バンダイナムコホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,1311,△19,$6.9 B,$518.8 M,$7 B,$17 B
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目４番５号,35.665694,139.739445,NEXON,株式会社ネクソン,Forbes Global 2021,-,-,-,-,-,-,-,-,1374,▼141,$2.7 B,$526.6 M,$8.4 B,$29.6 B
千代田区,二番町,-,東京都千代田区二番町８番地８,35.685844,139.734046,Seven & I Holdings,株式会社セブン＆アイ・ホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,228,△6,$54.4 B,$1.7 B,$65.2 B,$36.9 B
千代田区,麹町５丁目,-,東京都千代田区麹町５丁目２番地１,35.684515,139.734805,Orient,株式会社オリエントコーポレーション,Forbes Global 2021,-,-,-,-,-,-,-,-,1920,▼92,$2.2 B,$169.2 M,$53.5 B,$2.3 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番２号,35.684122,139.766415,Advantest,株式会社アドバンテスト,Forbes Global 2021,-,-,-,-,-,-,-,-,1611,△204,$2.7 B,$480.8 M,$3.5 B,$19 B
千代田区,麹町６丁目,-,東京都千代田区麹町６丁目１－１,35.684643,139.732602,Aozora Bank,株式会社あおぞら銀行,Forbes Global 2021,-,-,-,-,-,-,-,-,1911,▼113,$1.4 B,$191 M,$54.2 B,$2.6 B
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－７－１,35.681913,139.774275,T&D Holdings,株式会社T&Dホールディングス,Forbes Global 2021,-,-,-,-,-,-,-,-,539,△202,$18.9 B,$1.5 B,$169.1 B,$7.4 B
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿１丁目２０－８　,35.646787,139.713393,Subaru,株式会社SUBARU,Forbes Global 2021,-,-,-,-,-,-,-,-,535,▼56,$27.5 B,$1.1 B,$32 B,$15.2 B
江東区,豊洲３丁目,-,東京都江東区豊洲３丁目１丁目１　豊洲ＩＨＩビル,35.659214,139.793356,IHI,株式会社IHI ,Forbes Global 2021,-,-,-,-,-,-,-,-,1824,▼114,$11.5 B,$28.2 M,$16.6 B,$3 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.683186,139.765766,Hitachi,株式会社 日立製作所,Forbes Global 2021,-,-,-,-,-,-,-,-,133,△65,$78.7 B,$3.2 B,$106 B,$45.9 B
港区,芝浦１丁目,-,東京都港区芝浦１丁目１－１　,35.651638,139.757975,Toshiba,株式会社 東芝,Forbes Global 2021,-,-,-,-,-,-,-,-,545,△273,$28.4 B,$698.8 M,$32.6 B,$19.2 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目８－１,35.664984,139.762365,Dentsu,株式会社 電通,Forbes Global 2021,-,-,-,-,-,-,-,-,1478,▼138,$8.8 B,$-1.5 B,$32.7 B,$8.9 B
港区,芝２丁目,-,東京都港区芝２丁目３２番１号,35.65031,139.749694,Haseko,株式会社 長谷工コーポレーション,Forbes Global 2021,-,-,-,-,-,-,-,-,1938,▼197,$7.4 B,$456 M,$8.6 B,$4.2 B
品川区,北品川５丁目,-,東京都品川区北品川５丁目９－１２,35.619057,139.734817,Kobe Steel,株式会社　神戸製鋼所,Forbes Global 2021,-,-,-,-,-,-,-,-,1400,▼34,$15.8 B,$-668.8 M,$24.6 B,$2.5 B
港区,赤坂２丁目,赤坂,東京都港区赤坂２丁目３番６号,35.670873,139.74211,Komatsu,株式会社 小松製作所,Forbes Global 2021,-,-,-,-,-,-,-,-,471,▼66,$19.9 B,$791.3 M,$34.8 B,$29.3 B
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目１番１号,35.669849,139.746873,Mitsui OSK Lines,株式会社 商船三井,Forbes Global 2021,-,-,-,-,-,-,-,-,1389,△263,$9.6 B,$454.7 M,$19.9 B,$4.2 B
中央区,銀座７丁目,-,東京都中央区銀座７－５－５,35.66986,139.76134,Shiseido,株式会社　資生堂,Forbes Global 2021,-,-,-,-,-,-,-,-,1365,▼477,$8.6 B,$-109.2 M,$11.7 B,$29.4 B
中央区,日本橋２丁目,日八京,東京都中央区日本橋２丁目７番１号,35.681913,139.774275,Concordia Financial Group,株式会社　コンコルディア・フィナンシャルグループ,Forbes Global 2021,-,-,-,-,-,-,-,-,1331,▼29,$2.7 B,$385.5 M,$200.7 B,$4.7 B
江東区,大島２丁目,-,東京都江東区大島２丁目１－１,35.689645,139.82112,Lixil Group,株式会社 LIXILグループ,Forbes Global 2021,-,-,-,-,-,-,-,-,1413,△16,$12.5 B,$387.8 M,$17.6 B,$8.4 B
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町一丁目１４番１０号,35.680428,139.781156,Kao,花王株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,630,▼26,$12.9 B,$1.2 B,$16.1 B,$32 B
中央区,銀座４丁目,-,東京都中央区銀座４丁目７番５号,35.671298,139.766515,Oji Holdings,王子ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1463,▼256,$12.9 B,$346 M,$18.4 B,$6.5 B
港区,北青山２丁目,-,東京都港区北青山２丁目５番１号,35.671557,139.719321,Itochu,伊藤忠商事株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,117,△18,$96.6 B,$4.1 B,$107.8 B,$47.6 B
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町一丁目１番２号,35.673577,139.759175,Asahi Kasei,旭化成株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,625,△9,$19.7 B,$750.1 M,$27.8 B,$16 B
江東区,豊洲３丁目,-,東京都江東区豊洲３丁目２番２４号,35.657587,139.79497,Renesas Electronics,ルネサス エレクトロニクス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1213,△447,$6.7 B,$426.8 M,$15.6 B,$20.4 B
港区,三田３丁目,-,東京都港区三田３－５－２７　住友不動産三田ツインビル西館,35.643904,139.74237,Unicharm,ユニ・チャーム株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1195,▼252,$17.5 B,$396.3 M,$20.5 B,$7.1 B
中央区,銀座２丁目,-,東京都中央区銀座２丁目１６－１０,35.670688,139.770544,Yamato Holdings,ヤマトホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1307,△296,$15.6 B,$447.6 M,$11 B,$10.1 B
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町７番３号,35.68997,139.779559,Hulic,ヒューリック株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1816,▼185,$3.2 B,$595.9 M,$19.6 B,$8.1 B
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－４４－１,35.679021,139.675352,Terumo,テルモ株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1103,▼50,$5.7 B,$720.4 M,$12.2 B,$28.2 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－９－１,35.663042,139.76131,Softbank,ソフトバンク株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,27,△39,$70.3 B,$14.9 B,$366.7 B,$163.1 B
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目７－１,35.663052,139.759446,Sony,ソニー株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,35,△23,$79.9 B,$10.1 B,$250.7 B,$137.3 B
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前１丁目５番１号,35.671326,139.70712,Secom,セコム株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,850,▼57,$9.8 B,$706.2 M,$17.8 B,$18.5 B
港区,芝浦１丁目,-,東京都港区芝浦一丁目１番１号,35.651638,139.757975,Cosmo Energy Holdings,コスモエネルギーホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1520,▼254,$21.3 B,$-295.1 M,$16.2 B,$1.9 B
新宿区,西新宿２丁目,-,東京都新宿区西新宿２－３－１　新宿モノリス,35.688616,139.694568,Olympus,オリンパス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1345,▼228,$6.8 B,$363.4 M,$10.7 B,$27.3 B
港区,浜松町２丁目,-,東京都港区浜松町２丁目４番１号　世界貿易センタービル,35.656171,139.756444,Orix,オリックス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,274,△18,$21.2 B,$1.9 B,$129.1 B,$20 B
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目４−１,35.681235,139.763995,Open House,オープンハウス,Forbes Global 2021,-,-,-,-,-,-,-,-,1968,new,$5.7 B,$604.5 M,$5.6 B,$5.8 B
港区,赤坂２丁目,赤坂,東京都港区赤坂２丁目１１番４４号,35.67008,139.741093,M3,エムスリー株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1579,▼23,$13.8 B,$-673.4 M,$18.9 B,$3 B
品川区,南大井６丁目,-,東京都品川区南大井６－２６－１　大森ベルポートＡ館,35.588169,139.732072,Isuzu Motors,いすゞ自動車株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1195,▼252,$17.5 B,$396.3 M,$20.5 B,$7.1 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１番３号,35.685966,139.762736,Alfresa Holdings,アルフレッサ ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1561,△21,$24.6 B,$293.7 M,$13.8 B,$4 B
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町２－５－１,35.687263,139.77611,Astellas Pharma,アステラス製薬株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,585,▼38,$11.7 B,$1.3 B,$22.2 B,$28.1 B
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目５番１号,35.681472,139.773827,TDK,TDK株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,799,▼13,$13 B,$528.7 M,$21.4 B,$18.1 B
新宿区,西新宿１丁目,-,東京都新宿区西新宿１丁目２６－１,35.692697,139.696109,Sompo,ＳＯＭＰＯホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,400,▼40,$34.4 B,$931.9 M,$123.3 B,$13.7 B
千代田区,外神田４丁目,-,東京都千代田区外神田４－１４－１,35.700567,139.772715,SMC,SMC 株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,956,△78,$4.9 B,$986.5 M,$14.2 B,$40.3 B
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目６番１号,35.664562,139.739496,SBI Holdings,SBIホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1301,△449,$4.1 B,$569.7 M,$62.6 B,$7.2 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５番１号　大手町ファーストスクエア　イーストタワー,35.685777,139.764025,Nippon Telegraph & Tel,NTT（日本電信電話株式会社）,Forbes Global 2021,-,-,-,-,-,-,-,-,43,-,$110.3 B,$8.3 B,$231.1 B,$96.7 B
中央区,新川２丁目,-,東京都中央区新川２丁目２７番２号　東京住友ツインビルディング西館,35.674271,139.784301,MS&AD Insurance,MS&ADインシュアランス グループ ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,602,▼387,$42.8 B,$216.9 M,$232.5 B,$16.8 B
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋３丁目１０番１０号,35.700322,139.750541,KDDI,KDDI株式会社 ,Forbes Global 2021,-,-,-,-,-,-,-,-,106,△16,$49.3 B,$6.2 B,$98.4 B,$72.1 B
千代田区,内幸町２丁目,-,東京都千代田区内幸町２丁目２番３号,35.670326,139.754314,JFE Holdings,ＪＦＥ（ジェイ エフ イー）ホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1057,▼415,$30.5 B,$-2.8 B,$44.4 B,$7.6 B
新宿区,西新宿６丁目,-,東京都新宿区西新宿６－１０－１　日土地西新宿ビル　２０Ｆ,35.694603,139.690753,Hoya,HOYA株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,958,△13,$5 B,$1.1 B,$7.9 B,$46.5 B
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１－２　,35.686064,139.761993,ENEOS Holdings,ENEOSホールディングス株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,686,new,$72.8 B,$-2.3 B,$77.7 B,$14.2 B
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目５番１号,35.682543,139.764287,AGC,AGC株式会社,Forbes Global 2021,-,-,-,-,-,-,-,-,1227,△23,$13.2 B,$306.4 M,$24.5 B,$10.1 B
