指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2022/1/17,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用額,URL
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-12-9 タテハナビルB2F,35.69535,139.70265,LOFT,ライブハウス,POPs ･ Live ･ Rock ･ Jazz ･ Crossover ･ etc.,03-5272-0382,※イベント･スケジュールにより異なる,,500人,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-9-8 ASAHIビルB1F,35.69487,139.70344,DECABAR 超,バー,Allmix ･ Techno ･ Electro ･ EDM ･ Others,03-6273-8415,火曜～土曜日 18:00-05:00日・月 18:00-24:00,年中無休,120～150名 / 30席,"2,000円～",2010年 (Decadance BAR)
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-16-10 第27東京ビルB2F,35.69387,139.70209,GOLDEN EGG,ライブバー,Jazz ･ POPs ･ Soul ･ Funk ･ Rock ･ Others,03-3203-0405,平日 19:00前後から土日 ライブにより変動,無し,立 70人 / 座 ～50,2500円～,
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-1 K-PLAZA1 B2F,35.70151,139.70223,unique LABORATORY,CLUB ･ イベントスペース,A-POP ･ K-POP,03-6205-6158,,,150～200人,2500円,
新宿区,新宿３丁目,-,東京都新宿区新宿3-8-5 イオヤビル4F,35.69083,139.70652,CURTIS,バー,BlackMusic ･ Funk ･ Soul ･ Jazz ･ Reggae ･ Afrobeat ･ etc.,03-3351-2714,19:00-06:00 ※変更となる場合あり、要確認,日,カウンター5席程、テーブル席あり,"2,000円前後～",
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-5 東陽ビルB2F,35.69372,139.70399,Zirco Tokyo,ライブハウス,All Genre ･ Rock ･ POPs ･ Others,03-6278-9190,※ライブにより変わる,不定,250人,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-6-13 良川ビル7 B1F,35.69381,139.70288,AL,イベント会場,HipHop ･ All Genre,03-3207-9664,15:00-05:00(営業時間外の貸切も応相談),無休,立 100人,2500円～,
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-16 セントフォービル1F,35.69044,139.70790,AISOTOPE LOUNGE,ラウンジ,Allmix ･ Disco ･ HipHop ･ House ･ POPs ･ Others,03-6380-1504,バー20:00～ / イベント22:00～,無休,,3000円,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-1-7 マルハビル3F,35.69414,139.70449,URACUE,バー,Reggae ･ HipHop ･ Soul ･ Funk  ･ Jazz ･ Techno ･ House ･ etc.,,20:00-06:00,,12席,チャージ 800円ドリンク 600円～(イベント時のエントランス 1000円1D),
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-37-3 丸友ビルB1F,35.69605,139.70188,TOKYO LOOSE,バー ･ クラブ,Reggae ･ R&B ･ Techno ･ Trance ･ House ･ HipHop ･ Soul ･ Latin,03-3207-5677,20:00～,無休,150人,2300円,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-25-6 永和第6ビルB1F,35.69545,139.70362,club SCIENCE,ライブハウス,Rock ･ POPs ･ Live,03-6233-9006,,,300人,,
新宿区,新宿２丁目,-,東京都新宿区新宿2-11-4 ストークビル長崎1F,35.69029,139.70722,DRAGON MEN,ミュージックバー,All Genre,03-3341-0606,18:00-03:00 / 金･土 18:00-06:00,無し,200人,"600円～2,000円",
新宿区,新宿２丁目,-,東京都新宿区新宿2-11-2 CASA VERDE 1F-B1F,35.69016,139.70751,EAGLE TOKYO BLUE,ラウンジバー,Electro ･ HipHop ･ POPs ･ R&B ･ etc.,03-6876-8450,平日 21:00-04:00 / 金･土･日 18:00-04:00,無し,,ドリンク700円～ (ノーチャージ),
新宿区,上落合３丁目,-,東京都新宿区上落合3-9-10 三笠ビルB1F,35.71090,139.68392,soup,CLUB,Others,03-6909-3000,※イベントにより異なる,,100人,,
新宿区,新宿２丁目,-,東京都新宿区新宿2-18-1 第7天香ビル1F,35.69077,139.70820,AiiRO CAFE,バー,House ･ Allmix ･ POPs ･ Electro,03-6273-0740,18:00-02:00金･土 05:00まで日 24:00まで,不定休,30名未満,2000円,
新宿区,新宿２丁目,-,東京都新宿区新宿2-5-15 第一山興ビルB1F,35.68927,139.70715,REGGAE CLUB OPEN,ミュージックバー,Reggae ･ Live,03-3226-8855,18:00～※スケジュールにより異なる。必ず事前にご確認下さい。,,,,https://blogs.yahoo.co.jp/club_open/
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2 ジャストビル5F,35.69639,139.70060,Motion,ライブハウス,POPs ･ Rock ･ All Genre ･ Others,03-3209-1278,※毎ライブごとに変動,,120人,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-13-7 Tokyo19ビルB1F,35.69457,139.70260,MUSIC BAR L.G,バー,HipHop ･ rap ･ J-POP ･ etc.,不明,20:00-06:00,無し,10名前後 ※目算,ドリンク 600円～ / フード 300円～,
新宿区,新宿３丁目,-,東京都新宿区新宿3-10-9 FBビル1F,35.69132,139.70654,Soul Stream,バー,Soul ･ Funk ･ AOR ･ 70s ･ acid jazz ･ Fusion ･ Disco ･ Rare groove ･ etc.,03-3356-9600,19:00-03:00 / 週末 19:00-05:00 / 日･祝 19:00-01:00,火,20席 (立 25名),"3,000円前後",
新宿区,新宿３丁目,-,東京都新宿区新宿3-10-7 馬酔木ビル2F,35.69135,139.70645,Bar BaoBab,バー,80s ･ Jazz ･ Soul ･ Funk ･ HipHop ･ Reggae ･ Rare groove,03-5368-0636,18:00-05:00 / 日 18:00-24:00,無し,30席 (立 40名前後),"3,000円",
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-17-16 スタープラザB1F,35.71197,139.70721,DJ Bar SIGNAL,DJバー,HipHop ･ Old school ･ Reggae ･ Allmix,03-3203-5954,20:00-05:00,無休,50人,2000円,
新宿区,百人町１丁目,-,東京都新宿区百人町1-10-7 一番街ビルB1F,35.70035,139.69995,CLUB Voice,ライブハウス,Acoustic ･ A-POP ･ Soul ･ Rock ･ Folk ･ etc.,03-5338-0938,15:00-22:00まで ※ライブにより変わる,不定,150人,,
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-11 林ビル1F,35.69058,139.70769,BAR GOLDFINGER,バー,Allmix,03-6383-4649,月･水･木･日18:00-02:00金･土18:00-04:00,火,,,http://www.goldfingerparty.com/
新宿区,新宿２丁目,-,東京都新宿区新宿2-16-8 新宿北斗ビルB1F,35.69153,139.70860,NeoMasquerade,DJBAR ･ CLUB,Allmix ･ House ･ Soul ･ Disco ･ Rock ･ Funk ･ Dance ･ R&B,03-5925-8680,火-木 19:00-24:00 / バー 24:00-05:00金･土･祝前 19:00-05:00日･祝 15:00-22:00※イベントにより変更の場合有,月 ※貸切除く,100人,3200円,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-16-6 ポールスタービル7F,35.69397,139.70183,Garam,クラブ,Reggae ･ HipHop ･ Disco,03-3205-8668,※スケジュールにより異なる,,,2500円,https://www.facebook.com/Reggae-CLUB-Garam-115363385216385/
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-4 アコードビルB1F,35.69060,139.70737,Live Freak,ライブハウス,Hardcore ･ Rock ･ Punk ･ POPs ･ Others,03-3351-7542,※日程ごとに変動貸可能 13:00-22:00 / 深夜23:00-05:00,無し,200人,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-24-3 興和ビルB2F,35.69572,139.70370,HOLIDAY SHINJUKU,ライブハウス,Rock ･ Live ･ etc.,03-5292-0591,※スケジュールにより異なる,,450人,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2 カイダ第3ジャストビルB1F,35.69639,139.70060,Marble,ライブハウス,Rock ･ POPs ･ Live ･ Others,03-5272-3558,,,100人前後,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-4 第2与三郎ビル3F,35.69653,139.70046,あるけみすたぁ,バー,A-POP,03-6302-1724,19:00-24:00 / 金･土･祝前 19:00-05:00,無し,20席前後,3000円,
新宿区,新宿４丁目,-,東京都新宿区新宿4-3-15 レイフラット新宿B1F,35.68854,139.70361,ANTIKNOCK,ライブハウス,Hardcore ･ Punk ･ HeavyMetal ･ HardRock ･ Rock ･ HipHop ･ etc.,03-3350-5670,※ライブ時間は変動貸切可能 (目安)昼 9:00-14:00夜 15:00-22:00(平日)深夜 24:00-05:00,無し,250名,,
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-1 ガーネットビル1F,35.69033,139.70792,ALAMAS CAFE,カフェ ･ バー,Crossover ･ Techno ･ House ･ Disco ･ Dance ･ POPs ･ Others,03-6914-9215,月-木18:00-02:00 / 金･土18:00-05:00 / 日15:00-24:00,無休,,2000円,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-20-1 ヒューマックスパビリオン新宿歌舞伎町7F,35.69584,139.70149,SHINJUKU FACE,イベントホール,Others ･ Live ･ All Genre,03-3200-1300,スケジュールによる,,600人,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-42-16 第二大滝ビルB1F,35.69790,139.70179,SAMURAI,ライブハウス,POPs ･ Rock ･ Others ･ Live ･ etc.,03-5287-3390,※スケジュールによる,,150人,,
新宿区,新宿１丁目,-,東京都新宿区新宿1-34-13 貝塚ビルB1F,35.69127,139.71088,Wild Side Tokyo,ライブハウス,Live ･ POPs ･ Rock ･ All Genre ･ HeavyMetal,03-5919-8847,※ライブ開始時刻は変動箱貸 14:00-22:00,,150人,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-1 第1トキワビルB1F,35.69634,139.70063,MARZ,ライブハウス,Rock ･ All Genre ･ Others ･ House ･ Techno ･ Live,03-3202-8248,※スケジュールにより異なる,,300人,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-14-7 新宿ハヤシビル3F,35.69464,139.70220,DREAM STORE,ダイニングバー ･ イベントスペース,All Genre ･ Others ･ Live,03-5287-2286,17:00-25:00,無休,350人,4000円,
新宿区,新宿５丁目,-,東京都新宿区新宿5-17-13 オリエンタルウェーブ 8/9F,35.69293,139.70525,Christon Cafe,ダイニングバー,House ･ Electronic ･ Trance ･ Techno,03-5287-2426,17:00-23:30,無休,380席 / スタンディング300人,4000円,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-1-2 HANROKUビルB1F,35.69503,139.70637,NINE SPICES,ライブハウス,All Genre ･ Live,03-3205-1439,,,200人,,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-5-1 アイランドホール2F,35.69311,139.69307,ReNY,ライブハウス,All Genre ･ Live,03-5990-5561,公演ごと変動,,800人,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-21-7 ヒューマックスパビリオン新宿アネックスB2F,35.69538,139.70115,BLAZE,ライブハウス,Live ･ POPs ･ Rock ･ Others,03-5155-5990,スケジュールにより変動,,800人,,
新宿区,新宿５丁目,-,東京都新宿区新宿5-4-1 新宿Qフラットビル B1F,35.69185,139.71061,FUTURE NATURE VALVE,ライブハウス,House ･ Live ･ Others ･ POPs ･ Rock ･ All Genre,03-5879-8145,※イベントにより異なる貸切: 日中 14:30-22:00 / 夜間 22:00-05:00,,100人,3000円,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-15-9 B1F,35.69420,139.70222,BE-WAVE,カフェ ･ バー,All Genre ･ Others,Closed,17:00-05:00,無休,,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-13 新光ビル2F B号室,35.69479,139.70438,CLUB & DJ BAR BUMP,CLUB ･ DJバー,ALL Genre,営業不明の為非表示,18:00～翌朝7:00Dinner Time 18:00～21:00Club Time 21:00～Last→Happy Hour 21:00～23:00(但し、イベント開催時は除く),年中無休,80人,2000円～2500円,
中央区,銀座１丁目,-,東京都中央区銀座1-8-19 キラリトギンザ12F･RF,35.67433,139.76867,PLUSTOKYO,クラブ ･ ラウンジ,Techno ･ House ･ Drum&Bass ･ Electro ･ EDM ･ DUBSTEP ･ Disco ･ BassMusic ･ Trap ･ etc.,03-3563-3776,月-木 17:00-24:00金･土･祝前 17:00-04:00 更新の可能性あり、要事前確認,日,1000名以上(席数: 12階 148席 / 屋上 94席),"5,000円前後",http://plustyo.com/
中央区,銀座４丁目,-,東京都中央区銀座4-2-17 銀座111レジャービル B1F-1F,35.67280,139.76418,LAPIS TOKYO,CLUB,Allmix ･ R&B ･ EDM ･ HipHop ･ etc.,03-6228-6516,金･土･祝前日: 19:00-04:30特別なイベント等の事情により変動の場合あり、予めご確認下さい,日～木,地階 300人 / 1階 50人,"5,000円",2017年8月17日
中央区,銀座６丁目,-,東京都中央区銀座6-4-6 / 646ビル3F-6F,35.67133,139.76166,GENIUS TOKYO,CLUB ･ ディスコ,Allmix ･ HipHop ･ Disco ･ Others,03-3571-5830,火-木 20:00-01:00金 20:00-04:00土 20:00-03:00,日曜と月曜はパーティーイベントのみ,800人,"4,000円～ (女性2,000円)",2000年6月
中央区,銀座７丁目,-,東京都中央区銀座7-8-13 ブラウンプレイス4F,35.66891,139.76194,GINZA MUSIC BAR,バー,Jazz ･ Disco ･ Soul ･ Minimal ･ NewWave ･ HipHop ･ Techno ･ Rock ･ 80s ･ 90s ･ Oldies ･ etc.,03-3572-3666,18:00-28:00,日 ･ 祝,30名,"3,000円～",
中央区,銀座４丁目,-,東京都中央区銀座4-3-5 ハトリビル4F,35.67232,139.76465,POP INN,バー,R&B ･ HipHop ･ 90s ･ 80s ･ Funk ･ Soul ･ Classics ･ Disco ･ Reggae ･ Allmix,03-6271-0785,月-木 18:00-24:00 / 週末 18:00-02:00,日,25席 (立 40人),3800円,
中央区,銀座６丁目,-,東京都中央区銀座6-9-15 TACT1ビルB1F,35.66994,139.76308,TACT,ライブハウス,Live ･ Blues ･ Folk ･ Acoustic ･ Oldies ･ Jazz ･ Rock ･ POPs ･ Hawaiian ･ Country ･ Ballade ･ Others,03-3571-3939,スケジュールによる,無し,座80 / 立100名,4000円～6500円,
中央区,銀座８丁目,-,東京都中央区銀座8-12-6 小野商ビルB1F,35.66737,139.76288,Las Risas,ラテンバー,Latin ･ Salsa,03-3541-3303,19:00-24:00,,,1500円,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-6-5 銀座裏コリドー内,35.66923,139.75843,club GHQ,CLUB,Allmix,03-6550-9655,18:00-24:00,日,350人,"男性4,000円 / 女性1,000円",http://www.clubghq.com/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷3F,35.67371,139.75917,Billboard cafe & dining,レストラン,All Genre ･ Disco ･ Acoustic ･ TOP40 ･ Others,03-6273-3355,11:00-23:00ランチ 11:00～カフェ 15:00～ディナー 17:00～,不定休,店内: 100席以上 / テラス: 36席,5000円 / ランチ 1500円,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-14 紫ビルB1F,35.67243,139.75995,300BAR NEXT,バー,Techno ･ House ･ Soul ･ Old school ･ HipHop ･ Dance ･ Disco ･ Funk,03-3593-8300,17:00～月-木 -02:00 / 金･土･祝前 -04:00 / 日･祝 -23:00,無休,140人,1500円,
中央区,銀座７丁目,-,東京都中央区銀座7-5-5 長谷第一ビルB1F,35.66983,139.76130,The Soul Garden,ミュージックバー,Soul ･ Funk ･ Disco ･ R&B ･ AOR,03-6280-6012,18:00-27:00,日 ･ 祝,40人,3500円,
中央区,銀座７丁目,-,東京都中央区銀座7-7-9 銀座山市ビル1/2F,35.66911,139.76189,GINZA MAGIC,ソウルダイニング,Soul ･ Disco ･ 70s ･ 80s,03-3575-0511,19:00-04:00,日 ･ 祝,,3500円 / ドリンク800円,
中央区,銀座８丁目,-,東京都中央区銀座8-6-18 銀座カレラ弐番館B2F,35.66843,139.76033,CYGNUS,ライブバー,Chanson ･ BossaNova ･ Jazz ･ Disco ･ R&B ･ etc.,03-3289-0986,18:30-23:30,日,70名前後,"6,000円(2,000円 ミュージックチャージ)(お通し 1,100円)",
中央区,銀座６丁目,-,東京都中央区銀座6-4-8 ニューギンザビル3号館 B1F,35.67109,139.76136,333,スポーツバー,Others ･ Allmix,03-3572-1333,月-木 17:00-03:00金･土･祝前 17:00-04:00日･祝 17:00-24:00,無休,～80人,999円,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-2東宝ツインタワービルB2･B3,35.67443,139.75999,CLUB DIANA,クラブ ･ ディスコ,R&B ･ Disco ･ 90s ･ Allmix ･ HipHop ･ House,Closed,日-木･土･祝日18:00-24:00 / 金・祝前日18:00-25:00※イベントにより異なる場合がございますので事前にご確認下さい。,月 ※貸切りは営業,800人,エントランス料金女性日･火 : 1000円 2ドリンク水 : 2000円 2ドリンク木 : 1000円 フリードリンク金･祝前 : 2500円 3ドリンク土 : Free男性日･火･水 : 2500円 2ドリンク木 : 3500円 2ドリンク土 : 3500円 2ドリンク金･祝前 : 4000円 2ドリンク20時までのご入場女性1000円 2ドリンク男性日･火･祝 : 1000円 2ドリンク水 : 1500円 2ドリンク木･金･土･祝前 : 2500円 2ドリンク※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,http://clubdiana.jp/
中央区,銀座２丁目,-,東京都中央区銀座2-4-18 アルボーレ銀座7F,35.67425,139.76656,Ginza Roots Tokyo,ラウンジ ･ ダイニングバー,Allmix ･ Soul ･ Jazz ･ 70s ･ 80s ･ 90s,03-5579-9330,月-木･土18:00-05:00 / 金18:00-05:00 / 日･祝18:00-00:00,無休,150人,4000円,
中央区,銀座８丁目,-,東京都中央区銀座8-3-12 第2銀座コラムビルB1F,35.66915,139.75915,ThreeHundred Bar GINZA8,スタンディングバー,Allmix ･ Trance ･ House ･ R&B ･ Electronic,03-3571-8300,17:00-02:00 / 日･祝17:00-23:00,無休,,1000円,
江東区,亀戸６丁目,-,東京都江東区亀戸6-15-5 庄司ビル2F,35.69543,139.82652,Charlie,バー,Disco ･ Soul ･ Funk ･ HipHop ･ 70s ･ 80s ･ 90s ･ Oldies ･ Live,03-5875-5203,平日 20:00-25:00 / 週末･祝前 20:00-05:00※変動の可能性あり,日 ･ 祝 (臨時休あり),立 40人,2500円～3500円,
港区,赤坂３丁目,赤坂,東京都港区赤坂3-1-11 鈴木ビル3F,35.67687,139.73679,鶴千,バー,80s ･ 70s ･ Eurobeat ･ Funk ･ Soul ･ Disco,03-3583-2207,19:00-04:00,日 ･ 祝,50～100名,3000円,
港区,赤坂３丁目,赤坂,東京都港区赤坂3-14-1 コンチネンタルIVビルB1F,35.67400,139.73727,The Great Journey,バー,R&B ･ Jazz ･ Disco ･ Soul ･ Funk ･ 70s ･ 80s ･ HipHop,03-5545-5169,19:00-03:00,日 ･ 祝,70名 (40席),4000円,
港区,赤坂７丁目,赤坂,東京都港区赤坂7-9-7 バルビゾン74 1F,35.66980,139.73300,dot & blue,バー,Piano ･ Jam session ･ Jazz ･ Disco ･ House,03-3568-3188,18:00-02:00,日 ･ 祝,約50名,5000円,
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂地下,35.67459,139.73758,CRAWFISH,ライブバー,Rock ･ Jazz ･ Folk ･ Blues ･ POPs ･ Others,03-3584-2496,19:00前後-24:00,,立 80人,4000円,
港区,赤坂３丁目,赤坂,東京都港区赤坂3-20-2 赤坂第3福富ビルB1F,35.67622,139.73624,Bar Luther,バー,Black Contemporary ･ AOR ･ smooth jazz,03-6277-8016,19:00-04:00,日,15席,"3,000円",
港区,赤坂２丁目,赤坂,東京都港区赤坂2-14-1 赤坂山王会館B1F,35.67289,139.73786,CLUB TENJIKU,ライブハウス,Allmix ･ POPs ･ Live ･ Rock ･ All Genre ･ EDM,03-3560-2040,※イベント･スケジュールにより異なる,,150人,,
港区,赤坂５丁目,赤坂,東京都港区赤坂5-3-1 赤坂Bizタワー1F,35.67325,139.73645,P.C.A. PUB CARDINAL AKASAKA,バー ･ ラウンジ,Jazz ･ Soul ･ Funk ･ Lounge ･ All Genre,03-5545-7767,月-土 11:00-04:00 / 日･祝  11:00-23:00,不定休,着席50人 / スタンディング100人,4500円,
港区,赤坂３丁目,赤坂,東京都港区赤坂3-21-10 赤坂青明会館B1F,35.67644,139.73589,Graffiti,ライブハウス,Acoustic ･ Rock ･ POPs ･ etc.,Closed,※ライブ開演は日程による貸切対応時間 10:00-22:00,不定休,座り 90席～ / 立 160人,4000円～,
江東区,新木場２丁目,-,東京都江東区新木場2-2-10,35.64223,139.82531,ageHa,CLUB,EDM ･ House ･ Trance ･ Techno ･ Allmix ･ Live ･ R&B ･ Electronic ･ HipHop ･ etc.,03-5534-2525,※イベントにより異なる,アゲハとしてのイベント開催は大方土曜日スタジオコーストとしては平日も営業,2400人,"6,000円～駐車場(150台分あり): 利用料2,000円 ※目安渋谷からの専用シャトルバスは基本無料",2002年12月31日
